name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded
Lamare Bogarde,Aston Villa,West Ham,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Southampton,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Brighton,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Crystal Palace,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Manchester City,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Leeds United,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Liverpool,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Norwich,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Chelsea,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Brentford,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Manchester United,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Everton,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Leicester City,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Newcastle United,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Watford,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Brighton,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Southampton,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Leicester City,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,West Ham,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Arsenal,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Wolverhampton,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Tottenham,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Leeds United,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Norwich,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Burnley,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Liverpool,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Crystal Palace,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Burnley,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Manchester City,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Manchester United,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Tottenham,False,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Wolverhampton,True,0,0,0.0,0,0,0
Lamare Bogarde,Aston Villa,Arsenal,False,0,0,0.0,0,0,0
