name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Tim Ream,Fulham,Manchester United,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.18,34.03,0.0,Fulham,True,Leicester City,-2.18,0.47
Tim Ream,Fulham,Leicester City,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.18,34.03,0.0,Fulham,False,Ipswich Town,,
Tim Ream,Fulham,Ipswich Town,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.18,34.03,0.0,Fulham,True,West Ham,-0.79,0.48
Tim Ream,Fulham,West Ham,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.18,34.03,0.0,Fulham,True,Newcastle United,3.13,0.67
Tim Ream,Fulham,Newcastle United,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.18,34.03,0.0,Fulham,False,Nottingham Forest,1.93,-0.54
Tim Ream,Fulham,Nottingham Forest,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.18,34.03,0.0,Fulham,False,Manchester City,1.5,-1.51
Tim Ream,Fulham,Manchester City,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.18,34.03,0.0,Fulham,True,Aston Villa,-0.63,0.66
Tim Ream,Fulham,Aston Villa,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.18,34.03,0.0,Fulham,False,Everton,-0.93,-0.39
Tim Ream,Fulham,Everton,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.18,34.03,,,,,,
,Fulham,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulham,True,Brentford,1.56,0.54
,Fulham,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulham,False,Crystal Palace,-1.05,0.2
,Fulham,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulham,True,Wolverhampton,0.52,-0.08
