name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,total_points,was_home
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-08-14,0,Aston Villa,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-12-10,0,Brentford,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-08-21,0,Brighton,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-12-01,0,Chelsea,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-10-30,0,Southampton,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-11-28,0,Leeds United,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-11-07,0,Arsenal,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-12-04,0,Manchester City,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-11-20,0,Manchester United,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-12-28,0,West Ham,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-02-08,0,West Ham,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-01-21,0,Norwich,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-02-05,0,Burnley,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-02-12,0,Brighton,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-08-29,0,Tottenham,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-02-19,0,Aston Villa,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-02-23,0,Crystal Palace,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-03-13,0,Southampton,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-01-01,0,Tottenham,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-03-06,0,Arsenal,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-03-10,0,Wolverhampton,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-01-15,0,Newcastle United,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-02-26,0,Manchester United,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-04-02,0,Liverpool,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-04-09,0,Leicester City,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-05-22,0,Chelsea,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-09-11,0,Wolverhampton,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-05-15,0,Leeds United,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-05-07,0,Crystal Palace,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-05-11,0,Everton,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-09-18,0,Norwich,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-04-30,0,Burnley,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-04-16,0,Brentford,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-09-25,0,Newcastle United,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2022-04-23,0,Manchester City,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-10-02,0,Leicester City,0,0,False
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-10-16,0,Liverpool,0,0,True
Ben Wilmot,DEF,Watford,0,0,0,0.0,2021-10-23,0,Everton,0,0,False
