name,position,team,xP,assists,bonus,clean_sheets,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,total_points,was_home,yellow_cards
Tobi Omole,DEF,Spurs,-0.5,0,0,0,98,0,0,0.0,0,Manchester United,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,-0.5,0,0,0,106,0,0,0.0,0,Everton,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,118,0,0,0.0,0,Leicester City,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,140,0,0,0.0,0,Brentford,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,1.0,0,0,0,147,0,0,0.0,0,Norwich,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,-0.5,0,0,0,177,0,0,0.0,0,Liverpool,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,188,0,0,0.0,0,Crystal Palace,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,199,0,0,0.0,0,Southampton,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,1.0,0,0,0,210,0,0,0.0,0,Watford,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,166,0,0,0.0,0,Leeds United,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,-0.5,0,0,0,223,0,0,0.0,0,Chelsea,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,240,0,0,0.0,0,Southampton,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,0.0,0,0,0,249,0,0,0.0,0,Wolverhampton,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,257,0,0,0.0,0,Manchester City,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,124,0,0,0.0,0,Burnley,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,267,0,0,0.0,0,Leicester City,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,278,0,0,0.0,0,Everton,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,288,0,0,0.0,0,Manchester United,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,153,0,0,0.0,0,Brighton,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.0,0,0,0,298,0,0,0.0,0,West Ham,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,308,0,0,0.0,0,Newcastle United,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,312,0,0,0.0,0,Aston Villa,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,327,0,0,0.0,0,Brighton,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,1.0,0,0,0,332,0,0,0.0,0,Brentford,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,347,0,0,0.0,0,Leeds United,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,-0.5,0,0,0,358,0,0,0.0,0,Liverpool,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,-0.5,0,0,0,218,0,0,0.0,0,Arsenal,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,1.0,0,0,0,367,0,0,0.0,0,Burnley,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,1.0,0,0,0,380,0,0,0.0,0,Norwich,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,1.6,0,0,0,34,0,0,0.0,0,Crystal Palace,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.0,0,0,0,48,0,0,0.0,0,Chelsea,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,-0.5,0,0,0,51,0,0,0.0,0,Arsenal,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,0.0,0,0,0,68,0,0,0.0,0,Aston Villa,0,0,0,0,True,0
Tobi Omole,DEF,Spurs,0.5,0,0,0,77,0,0,0.0,0,Newcastle United,0,0,0,0,False,0
Tobi Omole,DEF,Spurs,-0.5,0,0,0,90,0,0,0.0,0,West Ham,0,0,0,0,False,0
