name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,total_points,was_home
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-08-14,0,Brighton,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-08-21,0,Liverpool,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-12-12,0,West Ham,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-12-01,0,Wolverhampton,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-11-06,0,Chelsea,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-11-20,0,Crystal Palace,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-12-04,0,Newcastle United,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-10-30,0,Brentford,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-12-30,0,Manchester United,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-01-02,0,Leicester City,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-02-08,0,Manchester United,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-02-13,0,Liverpool,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-08-29,0,Leicester City,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-02-26,0,Crystal Palace,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-03-01,0,Leeds United,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-01-23,0,Arsenal,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-02-05,0,Watford,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-02-19,0,Brighton,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-02-23,0,Tottenham,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-03-12,0,Brentford,0,0,False
Kevin Long,DEF,Burnley,0,0,2,1.1,2022-04-02,90,Manchester City,0,1,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-04-06,0,Everton,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-03-05,0,Chelsea,0,0,True
Kevin Long,DEF,Burnley,0,0,1,1.8,2022-05-15,90,Tottenham,0,2,False
Kevin Long,DEF,Burnley,0,0,1,1.3,2022-05-19,90,Aston Villa,0,1,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-04-10,0,Norwich,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-04-17,0,West Ham,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-04-21,0,Southampton,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-04-30,0,Watford,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2022-04-24,5,Wolverhampton,0,1,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-09-13,0,Everton,0,0,False
Kevin Long,DEF,Burnley,0,0,2,0.0,2022-05-22,90,Newcastle United,0,1,True
Kevin Long,DEF,Burnley,0,0,1,0.7,2022-05-07,43,Aston Villa,0,1,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-09-18,0,Arsenal,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-09-25,0,Leeds United,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-10-02,0,Norwich,0,0,True
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-10-16,0,Manchester City,0,0,False
Kevin Long,DEF,Burnley,0,0,0,0.0,2021-10-23,0,Southampton,0,0,False
