name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,total_points,was_home
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,2,1.8,2021-12-15,63,Southampton,0,1,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,3,1.1,2021-12-26,90,Tottenham,0,1,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,3,1.7,2021-08-14,90,Chelsea,0,1,False
Cheikhou Kouyaté,DEF,Crystal Palace,1,1,0,1.4,2021-08-21,90,Brentford,0,7,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,1,1.2,2021-12-12,90,Everton,0,2,True
Cheikhou Kouyaté,DEF,Crystal Palace,1,0,2,5.5,2021-11-27,90,Aston Villa,0,5,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,1,1.4,2021-11-30,90,Leicester City,0,2,False
Cheikhou Kouyaté,DEF,Crystal Palace,2,1,0,2.4,2021-11-06,90,Wolverhampton,0,8,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,1,0,1.3,2021-10-30,84,Manchester City,0,6,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,3,3.1,2021-11-20,90,Burnley,0,1,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,1,3.5,2021-12-05,83,Manchester United,0,2,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2022-01-01,0,West Ham,0,0,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2022-01-14,0,Brighton,0,0,False
Cheikhou Kouyaté,DEF,Crystal Palace,1,1,0,1.8,2021-12-28,90,Norwich,0,7,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.3,2022-02-26,6,Burnley,0,1,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,1,0,0.5,2022-04-04,79,Arsenal,0,6,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,2,0.6,2022-04-10,57,Leeds United,0,0,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2022-02-09,0,Norwich,0,0,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,2,1.8,2021-08-28,90,West Ham,0,1,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2022-02-12,0,Brentford,0,0,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2022-01-23,0,Liverpool,0,0,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,1,1.4,2022-04-20,59,Newcastle United,0,1,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2022-04-25,0,Leicester City,0,0,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2022-04-30,0,Southampton,0,0,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,1,1.7,2022-02-19,90,Chelsea,0,2,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,1,1.8,2022-02-23,90,Watford,0,1,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,1,0,4.3,2022-03-14,90,Manchester City,0,5,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,1,1.4,2022-05-15,90,Aston Villa,0,1,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2022-05-19,0,Everton,0,0,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,1,0,0.1,2022-03-05,68,Wolverhampton,0,6,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,1,0,1.0,2021-09-11,66,Tottenham,0,6,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2022-05-22,23,Manchester United,0,1,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,2,1.4,2021-09-18,81,Liverpool,0,1,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,1,0.3,2021-09-27,18,Brighton,0,1,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2021-10-03,0,Leeds United,0,0,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,1,1.2,2021-10-18,23,Arsenal,0,1,False
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2022-05-07,0,Watford,0,0,True
Cheikhou Kouyaté,DEF,Crystal Palace,0,0,0,0.0,2021-10-23,0,Newcastle United,0,0,True
