name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,total_points,was_home
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2021-08-15,0,West Ham,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,3,4.3,2021-10-30,90,Chelsea,0,1,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2021-11-06,0,Brighton,0,0,False
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2021-11-20,0,Brentford,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2021-11-27,0,Arsenal,0,0,False
Javier Manquillo,DEF,Newcastle,0,0,1,0.8,2021-11-30,90,Norwich,0,2,True
Javier Manquillo,DEF,Newcastle,0,1,0,1.2,2021-12-04,90,Burnley,0,5,True
Javier Manquillo,DEF,Newcastle,0,0,4,3.3,2021-12-12,90,Leeds United,0,-1,False
Javier Manquillo,DEF,Newcastle,0,0,3,1.6,2021-12-16,90,Liverpool,0,1,False
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2021-12-19,0,Manchester City,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,1,2.3,2021-12-27,90,Manchester United,0,1,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2021-08-21,0,Aston Villa,0,0,False
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-01-15,0,Watford,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,0,1.0,2022-01-22,27,Leicester City,0,4,False
Javier Manquillo,DEF,Newcastle,0,0,0,0.3,2022-02-08,1,Everton,0,1,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.5,2022-02-13,45,Aston Villa,0,1,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-02-19,0,West Ham,0,0,False
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-02-26,0,Brentford,0,0,False
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-03-05,0,Brighton,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-03-10,1,Southampton,0,1,False
Javier Manquillo,DEF,Newcastle,0,0,1,0.7,2022-03-13,90,Chelsea,0,2,False
Javier Manquillo,DEF,Newcastle,0,0,1,0.2,2022-03-17,1,Everton,0,1,False
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2021-08-28,0,Southampton,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,3,0.7,2022-04-03,58,Tottenham,0,0,False
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-04-08,0,Wolverhampton,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-04-17,0,Leeds United,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-04-20,0,Crystal Palace,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-04-23,0,Norwich,0,0,False
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-04-30,0,Liverpool,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-05-08,0,Manchester City,0,0,False
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-05-16,0,Arsenal,0,0,True
Javier Manquillo,DEF,Newcastle,0,0,0,0.0,2022-05-22,0,Burnley,0,0,False
Javier Manquillo,DEF,Newcastle,0,0,2,6.3,2021-09-11,76,Manchester United,0,7,False
Javier Manquillo,DEF,Newcastle,0,0,1,2.2,2021-09-17,80,Leicester City,0,2,True
Javier Manquillo,DEF,Newcastle,0,0,1,2.1,2021-09-25,90,Watford,0,1,False
Javier Manquillo,DEF,Newcastle,0,0,2,2.7,2021-10-02,69,Wolverhampton,0,3,False
Javier Manquillo,DEF,Newcastle,0,0,3,5.6,2021-10-17,90,Tottenham,0,4,True
Javier Manquillo,DEF,Newcastle,0,0,1,1.9,2021-10-23,90,Crystal Palace,0,2,False
