name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Allan Saint-Maximin,FWD,Newcastle,0,0.7,2021-12-19,45,Manchester City,1,True
Allan Saint-Maximin,FWD,Newcastle,3,13.8,2021-12-27,82,Manchester United,9,True
Allan Saint-Maximin,FWD,Newcastle,0,3.6,2021-12-16,78,Liverpool,2,False
Allan Saint-Maximin,FWD,Newcastle,0,2.3,2021-08-21,90,Aston Villa,2,False
Allan Saint-Maximin,FWD,Newcastle,1,9.8,2021-08-15,90,West Ham,6,True
Allan Saint-Maximin,FWD,Newcastle,1,10.9,2021-08-28,90,Southampton,6,True
Allan Saint-Maximin,FWD,Newcastle,0,8.1,2021-12-12,90,Leeds United,1,False
Allan Saint-Maximin,FWD,Newcastle,0,4.7,2021-11-27,90,Arsenal,2,False
Allan Saint-Maximin,FWD,Newcastle,0,2.4,2021-10-30,90,Chelsea,2,True
Allan Saint-Maximin,FWD,Newcastle,0,4.4,2021-11-30,76,Norwich,2,True
Allan Saint-Maximin,FWD,Newcastle,0,8.2,2021-12-04,90,Burnley,2,True
Allan Saint-Maximin,FWD,Newcastle,2,12.4,2021-11-20,90,Brentford,10,True
Allan Saint-Maximin,FWD,Newcastle,0,12.4,2022-02-08,90,Everton,5,True
Allan Saint-Maximin,FWD,Newcastle,0,0.9,2021-11-06,90,Brighton,2,False
Allan Saint-Maximin,FWD,Newcastle,0,6.3,2022-02-13,90,Aston Villa,2,True
Allan Saint-Maximin,FWD,Newcastle,0,9.4,2022-01-22,90,Leicester City,1,False
Allan Saint-Maximin,FWD,Newcastle,0,1.7,2022-03-13,21,Chelsea,1,False
Allan Saint-Maximin,FWD,Newcastle,0,3.2,2022-03-17,19,Everton,1,False
Allan Saint-Maximin,FWD,Newcastle,0,0.0,2022-02-26,0,Brentford,0,False
Allan Saint-Maximin,FWD,Newcastle,0,2.1,2022-03-05,26,Brighton,1,True
Allan Saint-Maximin,FWD,Newcastle,0,0.0,2022-03-10,0,Southampton,0,False
Allan Saint-Maximin,FWD,Newcastle,0,0.0,2022-02-19,0,West Ham,0,False
Allan Saint-Maximin,FWD,Newcastle,3,8.5,2022-01-15,85,Watford,9,True
Allan Saint-Maximin,FWD,Newcastle,0,3.5,2022-05-16,76,Arsenal,2,True
Allan Saint-Maximin,FWD,Newcastle,2,16.5,2021-09-17,90,Leicester City,8,True
Allan Saint-Maximin,FWD,Newcastle,0,7.2,2021-09-11,90,Manchester United,5,False
Allan Saint-Maximin,FWD,Newcastle,0,4.3,2022-04-08,90,Wolverhampton,2,True
Allan Saint-Maximin,FWD,Newcastle,0,1.7,2022-04-03,90,Tottenham,1,False
Allan Saint-Maximin,FWD,Newcastle,3,13.9,2021-09-25,90,Watford,8,False
Allan Saint-Maximin,FWD,Newcastle,0,6.7,2021-10-02,90,Wolverhampton,2,False
Allan Saint-Maximin,FWD,Newcastle,0,0.6,2021-10-23,80,Crystal Palace,2,False
Allan Saint-Maximin,FWD,Newcastle,0,2.0,2021-10-17,90,Tottenham,2,True
Allan Saint-Maximin,FWD,Newcastle,0,0.0,2022-05-22,71,Burnley,5,False
Allan Saint-Maximin,FWD,Newcastle,0,2.9,2022-04-30,90,Liverpool,2,True
Allan Saint-Maximin,FWD,Newcastle,0,7.6,2022-04-23,90,Norwich,4,False
Allan Saint-Maximin,FWD,Newcastle,0,4.6,2022-04-17,90,Leeds United,2,True
Allan Saint-Maximin,FWD,Newcastle,0,3.2,2022-04-20,75,Crystal Palace,2,True
Allan Saint-Maximin,FWD,Newcastle,0,4.4,2022-05-08,90,Manchester City,2,False
