name,position,team,xP,assists,bonus,clean_sheets,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,total_points,was_home,yellow_cards
Ross Barkley,MID,Chelsea,2.4,0,0,0,3,0,0,0.0,0,Crystal Palace,0,0,0,True,0
Ross Barkley,MID,Chelsea,2.2,0,0,0,96,0,0,1.1,26,Newcastle United,0,0,1,False,0
Ross Barkley,MID,Chelsea,2.7,0,0,1,104,0,0,9.2,72,Burnley,0,0,3,True,0
Ross Barkley,MID,Chelsea,2.2,0,0,0,113,0,0,0.0,0,Leeds United,0,0,0,False,0
Ross Barkley,MID,Chelsea,1.5,0,0,0,125,0,0,0.0,0,Manchester United,0,0,0,True,0
Ross Barkley,MID,Chelsea,2.3,0,0,0,135,0,0,0.0,0,Watford,0,0,0,False,0
Ross Barkley,MID,Chelsea,0.5,0,0,0,149,0,0,0.0,0,West Ham,0,0,0,False,0
Ross Barkley,MID,Chelsea,1.0,0,0,0,155,0,0,0.0,0,Leicester City,0,0,0,True,0
Ross Barkley,MID,Chelsea,1.2,0,0,0,168,1,0,2.2,25,Everton,0,0,1,True,0
Ross Barkley,MID,Chelsea,1.1,0,0,0,180,0,0,0.0,0,Wolverhampton,0,0,0,False,0
Ross Barkley,MID,Chelsea,1.1,0,0,0,181,0,0,0.0,0,Aston Villa,0,0,0,False,0
Ross Barkley,MID,Chelsea,0.0,0,0,0,18,0,0,0.0,0,Arsenal,0,0,0,False,0
Ross Barkley,MID,Chelsea,1.1,0,0,0,193,0,0,0.0,0,Brighton,0,0,0,True,0
Ross Barkley,MID,Chelsea,0.2,0,0,0,203,0,0,0.0,0,Liverpool,0,0,0,True,0
Ross Barkley,MID,Chelsea,1.0,0,0,0,215,0,0,0.0,0,Manchester City,0,0,0,False,0
Ross Barkley,MID,Chelsea,1.0,0,0,0,232,0,0,0.0,0,Brighton,0,0,0,False,0
Ross Barkley,MID,Chelsea,0.5,0,0,0,223,0,0,0.0,0,Tottenham,0,0,0,True,0
Ross Barkley,MID,Chelsea,1.0,0,0,0,254,0,0,0.0,0,Crystal Palace,0,0,0,False,0
Ross Barkley,MID,Chelsea,3.0,0,0,0,272,0,0,0.0,0,Burnley,0,0,0,False,0
Ross Barkley,MID,Chelsea,3.0,0,0,0,297,0,0,0.0,0,Norwich,0,0,0,False,0
Ross Barkley,MID,Chelsea,1.0,0,0,0,284,0,0,0.0,0,Newcastle United,0,0,0,True,0
Ross Barkley,MID,Chelsea,0.0,0,0,0,23,0,0,0.0,0,Liverpool,0,0,0,False,0
Ross Barkley,MID,Chelsea,1.0,0,0,0,303,0,0,0.0,0,Brentford,0,0,0,True,0
Ross Barkley,MID,Chelsea,0.5,0,0,0,319,0,0,0.0,0,Southampton,0,0,0,False,0
Ross Barkley,MID,Chelsea,0.0,0,0,0,243,0,0,0.0,0,Arsenal,0,0,0,True,0
Ross Barkley,MID,Chelsea,0.5,0,0,0,335,0,0,0.0,0,West Ham,0,0,0,True,0
Ross Barkley,MID,Chelsea,0.5,0,0,0,364,0,0,0.0,0,Manchester United,0,0,0,False,0
Ross Barkley,MID,Chelsea,0.8,0,0,0,342,0,0,0.0,0,Everton,0,0,0,False,0
Ross Barkley,MID,Chelsea,1.0,0,0,0,355,0,0,0.0,0,Wolverhampton,0,0,0,True,0
Ross Barkley,MID,Chelsea,1.0,0,0,0,323,0,0,0.0,0,Leicester City,0,0,0,False,0
Ross Barkley,MID,Chelsea,0.5,0,0,0,264,0,0,0.0,0,Leeds United,0,0,0,True,0
Ross Barkley,MID,Chelsea,2.0,0,1,0,375,1,1,0.0,24,Watford,0,0,7,True,0
Ross Barkley,MID,Chelsea,0.5,0,0,0,33,0,0,0.0,0,Aston Villa,0,0,0,True,0
Ross Barkley,MID,Chelsea,0.0,0,0,0,48,0,0,0.0,0,Tottenham,0,0,0,False,0
Ross Barkley,MID,Chelsea,0.0,0,0,0,53,0,0,0.0,0,Manchester City,0,0,0,True,0
Ross Barkley,MID,Chelsea,1.2,0,0,0,63,0,0,0.4,7,Southampton,0,0,1,True,0
Ross Barkley,MID,Chelsea,1.2,0,0,0,73,0,0,0.0,0,Brentford,0,0,0,False,0
Ross Barkley,MID,Chelsea,2.0,0,0,0,84,0,0,3.4,20,Norwich,0,0,1,True,0
