name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,total_points,was_home
Matt Targett,DEF,Aston Villa,0,0,3,4.1,2021-12-26,90,Chelsea,0,4,True
Matt Targett,DEF,Aston Villa,0,1,0,3.0,2021-12-14,90,Norwich,0,6,False
Matt Targett,DEF,Aston Villa,0,0,0,0.0,2021-12-05,0,Leeds United,0,0,True
Matt Targett,DEF,Aston Villa,0,0,2,1.6,2021-12-01,66,Manchester City,0,1,True
Matt Targett,DEF,Aston Villa,0,0,1,7.2,2021-11-27,90,Crystal Palace,0,8,False
Matt Targett,DEF,Newcastle,0,0,1,3.1,2022-02-08,90,Everton,0,2,True
Matt Targett,DEF,Aston Villa,0,0,0,0.0,2021-08-21,0,Newcastle United,0,0,True
Matt Targett,DEF,Aston Villa,0,0,2,1.8,2021-08-14,45,Watford,0,0,False
Matt Targett,DEF,Aston Villa,0,0,1,2.2,2021-12-11,90,Liverpool,0,2,False
Matt Targett,DEF,Aston Villa,0,0,4,5.4,2021-10-31,90,West Ham,0,0,True
Matt Targett,DEF,Aston Villa,0,0,1,1.7,2021-08-28,90,Brentford,0,2,True
Matt Targett,DEF,Aston Villa,0,0,1,5.5,2021-11-05,90,Southampton,0,2,False
Matt Targett,DEF,Aston Villa,1,1,0,8.3,2021-11-20,90,Brighton,0,7,True
Matt Targett,DEF,Aston Villa,0,0,0,0.0,2022-01-22,0,Everton,0,0,False
Matt Targett,DEF,Newcastle,0,0,1,4.3,2022-03-13,90,Chelsea,0,2,False
Matt Targett,DEF,Newcastle,0,0,1,2.9,2022-03-17,90,Everton,0,2,False
Matt Targett,DEF,Newcastle,0,0,0,0.0,2022-02-13,0,Aston Villa,0,0,True
Matt Targett,DEF,Newcastle,0,0,1,6.9,2022-02-19,90,West Ham,0,2,False
Matt Targett,DEF,Newcastle,0,0,1,4.4,2022-03-05,90,Brighton,0,2,True
Matt Targett,DEF,Newcastle,0,0,1,6.1,2022-03-10,90,Southampton,0,2,False
Matt Targett,DEF,Newcastle,0,1,0,12.0,2022-02-26,90,Brentford,0,6,False
Matt Targett,DEF,Aston Villa,0,0,2,7.0,2022-01-02,90,Brentford,0,1,False
Matt Targett,DEF,Aston Villa,0,0,0,0.0,2022-01-15,0,Manchester United,0,0,True
Matt Targett,DEF,Newcastle,1,0,1,0.0,2022-05-22,90,Burnley,0,3,False
Matt Targett,DEF,Aston Villa,0,0,3,1.6,2021-09-11,90,Chelsea,0,0,False
Matt Targett,DEF,Newcastle,0,0,5,2.1,2022-04-03,90,Tottenham,0,0,False
Matt Targett,DEF,Newcastle,0,0,5,2.4,2022-05-08,90,Manchester City,0,-1,False
Matt Targett,DEF,Aston Villa,0,1,0,3.8,2021-09-18,60,Everton,0,6,True
Matt Targett,DEF,Newcastle,0,1,0,2.8,2022-04-08,90,Wolverhampton,0,6,True
Matt Targett,DEF,Aston Villa,0,1,0,1.4,2021-09-25,90,Manchester United,0,6,False
Matt Targett,DEF,Aston Villa,0,0,2,8.2,2021-10-03,90,Tottenham,1,2,False
Matt Targett,DEF,Aston Villa,0,0,3,2.7,2021-10-16,90,Wolverhampton,0,1,True
Matt Targett,DEF,Aston Villa,0,0,3,4.9,2021-10-22,90,Arsenal,0,0,False
Matt Targett,DEF,Newcastle,0,0,1,2.6,2022-04-30,90,Liverpool,0,2,True
Matt Targett,DEF,Newcastle,0,0,1,7.1,2022-04-17,90,Leeds United,0,2,True
Matt Targett,DEF,Newcastle,3,1,0,4.0,2022-04-20,90,Crystal Palace,0,9,True
Matt Targett,DEF,Newcastle,0,1,0,2.0,2022-04-23,90,Norwich,0,6,False
Matt Targett,DEF,Newcastle,2,1,0,4.5,2022-05-16,90,Arsenal,0,8,True
