name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Kevin De Bruyne,MID,Man City,0,0,0,2.8,2021-08-15,11,Tottenham,1,False
Kevin De Bruyne,MID,Man City,0,0,1,3.0,2021-10-30,58,Crystal Palace,1,True
Kevin De Bruyne,MID,Man City,0,1,0,11.7,2021-11-06,90,Manchester United,3,False
Kevin De Bruyne,MID,Man City,0,0,0,0.0,2021-11-21,0,Everton,0,True
Kevin De Bruyne,MID,Man City,0,0,0,0.0,2021-11-28,0,West Ham,0,True
Kevin De Bruyne,MID,Man City,0,0,0,0.0,2021-12-01,0,Aston Villa,0,False
Kevin De Bruyne,MID,Man City,0,0,1,2.0,2021-12-04,23,Watford,1,False
Kevin De Bruyne,MID,Man City,0,0,0,2.5,2021-12-11,16,Wolverhampton,1,True
Kevin De Bruyne,MID,Man City,3,1,0,22.5,2021-12-14,90,Leicester City,16,True
Kevin De Bruyne,MID,Man City,0,1,0,10.1,2021-12-19,90,Newcastle United,3,False
Kevin De Bruyne,MID,Man City,0,0,3,13.2,2021-12-26,70,Leeds United,7,True
Kevin De Bruyne,MID,Man City,0,0,0,0.0,2021-08-21,0,Norwich,0,True
Kevin De Bruyne,MID,Man City,2,1,0,9.6,2021-12-29,90,Brentford,8,False
Kevin De Bruyne,MID,Man City,0,0,1,5.8,2022-01-01,90,Arsenal,2,False
Kevin De Bruyne,MID,Man City,3,1,0,11.6,2022-01-15,83,Chelsea,11,True
Kevin De Bruyne,MID,Man City,3,0,1,11.2,2022-01-22,90,Southampton,8,False
Kevin De Bruyne,MID,Man City,3,1,0,12.2,2022-02-09,90,Brentford,11,True
Kevin De Bruyne,MID,Man City,0,0,0,0.0,2022-02-12,0,Norwich,0,False
Kevin De Bruyne,MID,Man City,0,0,3,5.4,2022-02-19,90,Tottenham,2,True
Kevin De Bruyne,MID,Man City,0,1,0,6.7,2022-02-26,90,Everton,3,False
Kevin De Bruyne,MID,Man City,3,0,1,26.0,2022-03-06,79,Manchester United,18,True
Kevin De Bruyne,MID,Man City,0,1,0,10.6,2022-03-14,90,Crystal Palace,3,False
Kevin De Bruyne,MID,Man City,0,0,0,0.0,2021-08-28,0,Arsenal,0,True
Kevin De Bruyne,MID,Man City,3,1,0,11.3,2022-04-02,77,Burnley,11,False
Kevin De Bruyne,MID,Man City,2,0,2,8.1,2022-04-10,90,Liverpool,9,True
Kevin De Bruyne,MID,Man City,0,1,0,10.3,2022-04-20,82,Brighton,6,True
Kevin De Bruyne,MID,Man City,2,0,1,12.2,2022-04-23,56,Watford,9,True
Kevin De Bruyne,MID,Man City,0,0,0,0.0,2022-04-30,0,Leicester City,0,False
Kevin De Bruyne,MID,Man City,1,1,0,13.0,2022-05-08,90,Newcastle United,6,True
Kevin De Bruyne,MID,Man City,3,0,1,22.2,2022-05-11,90,Wolverhampton,24,False
Kevin De Bruyne,MID,Man City,0,0,2,12.6,2022-05-15,90,West Ham,2,False
Kevin De Bruyne,MID,Man City,1,0,2,0.0,2022-05-22,90,Aston Villa,6,True
Kevin De Bruyne,MID,Man City,0,0,0,0.0,2021-09-11,0,Leeds United,0,False
Kevin De Bruyne,MID,Man City,0,0,0,3.8,2021-09-18,25,Southampton,1,True
Kevin De Bruyne,MID,Man City,0,1,0,10.3,2021-09-25,80,Chelsea,3,False
Kevin De Bruyne,MID,Man City,1,0,2,11.0,2021-10-03,90,Liverpool,8,False
Kevin De Bruyne,MID,Man City,3,1,0,9.6,2021-10-16,83,Burnley,11,True
Kevin De Bruyne,MID,Man City,0,0,1,5.5,2021-10-23,13,Brighton,1,False
