name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Ibrahim Sangaré,Nott'm Forest,Bournemouth,2024-08-17,True,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.1,0.0,1.0,2.0,0.0,90.0,0.0,0.0,0.84,0.36,0.02,2.0,Nott'm Forest,False,Southampton,-1.72,-0.31
Ibrahim Sangaré,Nott'm Forest,Southampton,2024-08-24,False,65.0,0.0,0.02,0.0,0.0,2.0,1.0,0.0,2.3,0.0,1.0,2.0,0.01,77.5,0.0,0.0,0.84,0.36,0.02,0.0,Nott'm Forest,True,Wolverhampton,-0.63,-0.08
Ibrahim Sangaré,Nott'm Forest,Wolverhampton,2024-08-31,True,57.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,3.0,0.0,1.0,1.33,0.01,70.67,0.0,0.0,0.84,0.36,0.02,0.0,Nott'm Forest,False,Liverpool,2.76,-1.08
Ibrahim Sangaré,Nott'm Forest,Liverpool,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,1.0,0.0,53.0,0.0,0.0,0.84,0.36,0.02,0.0,Nott'm Forest,False,Brighton,1.21,-0.61
Ibrahim Sangaré,Nott'm Forest,Brighton,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.8,0.0,42.4,0.0,0.0,0.84,0.36,0.02,0.0,Nott'm Forest,True,Fulham,-2.25,0.27
Ibrahim Sangaré,Nott'm Forest,Fulham,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.4,0.0,35.33,0.0,0.0,0.84,0.36,0.02,0.0,Nott'm Forest,False,Chelsea,-2.46,-0.9
Ibrahim Sangaré,Nott'm Forest,Chelsea,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,30.29,0.0,0.0,0.84,0.36,0.02,0.0,Nott'm Forest,True,Crystal Palace,-0.57,0.88
Ibrahim Sangaré,Nott'm Forest,Crystal Palace,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,0.84,0.36,0.02,0.0,Nott'm Forest,False,Leicester City,1.63,-0.22
Ibrahim Sangaré,Nott'm Forest,Leicester City,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,23.56,0.0,0.0,0.84,0.36,0.02,,,,,,
,Nott'm Forest,,,,,,,,,,,,,,,,,,,,,,,,Nott'm Forest,True,West Ham,-2.72,0.48
,Nott'm Forest,,,,,,,,,,,,,,,,,,,,,,,,Nott'm Forest,True,Newcastle United,0.52,0.67
,Nott'm Forest,,,,,,,,,,,,,,,,,,,,,,,,Nott'm Forest,False,Arsenal,1.87,-0.56
