name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,was_home
Illan Meslier,GK,Leeds,1,0,4,2021-12-18,90,Arsenal,0,0,8,235410,3,True
Illan Meslier,GK,Leeds,0,0,2,2022-03-18,54,Wolverhampton,0,0,2,215124,0,False
Illan Meslier,GK,Leeds,0,0,4,2022-02-26,90,Tottenham,0,0,6,188631,2,True
Illan Meslier,GK,Leeds,0,0,7,2021-12-14,90,Manchester City,0,0,8,218277,1,False
Illan Meslier,GK,Leeds,0,0,1,2022-01-02,90,Burnley,0,0,1,207969,2,True
Illan Meslier,GK,Leeds,0,0,5,2021-08-14,90,Manchester United,0,0,3,281639,1,False
Illan Meslier,GK,Leeds,0,0,2,2021-08-21,90,Everton,0,0,6,279258,3,True
Illan Meslier,GK,Leeds,0,0,2,2022-01-16,90,West Ham,0,0,3,192920,2,False
Illan Meslier,GK,Leeds,0,0,1,2021-10-31,90,Norwich,0,0,2,262452,2,False
Illan Meslier,GK,Leeds,0,0,1,2021-08-29,90,Burnley,0,0,2,277617,2,False
Illan Meslier,GK,Leeds,1,1,0,2021-11-27,90,Brighton,0,0,4,223062,8,False
Illan Meslier,GK,Leeds,0,0,3,2021-12-11,90,Chelsea,0,0,3,222382,1,False
Illan Meslier,GK,Leeds,0,0,2,2021-12-05,90,Brentford,0,0,1,229493,1,True
Illan Meslier,GK,Leeds,0,0,3,2022-02-09,90,Aston Villa,0,0,2,195389,1,False
Illan Meslier,GK,Leeds,0,0,1,2021-11-07,90,Leeds United,0,0,2,240476,2,True
Illan Meslier,GK,Leeds,2,1,0,2021-11-30,90,Crystal Palace,0,0,1,225468,8,True
Illan Meslier,GK,Leeds,0,0,2,2021-11-21,90,Tottenham,0,0,2,228668,1,False
Illan Meslier,GK,Leeds,0,0,3,2022-02-12,90,Everton,0,0,7,194667,3,False
Illan Meslier,GK,Leeds,0,0,1,2022-01-22,90,Newcastle United,0,0,2,199939,2,True
Illan Meslier,GK,Leeds,0,1,0,2022-04-09,90,Watford,0,0,1,181711,6,False
Illan Meslier,GK,Leeds,0,0,1,2022-03-13,90,Norwich,0,0,3,187960,3,True
Illan Meslier,GK,Leeds,0,0,1,2022-04-02,90,Southampton,0,0,4,181626,3,True
Illan Meslier,GKP,Leeds,0,0,1,2022-05-15,90,Brighton,0,0,5,183273,3,True
Illan Meslier,GK,Leeds,0,0,4,2022-02-20,90,Manchester United,0,0,5,190464,1,True
Illan Meslier,GK,Leeds,0,0,6,2022-02-23,90,Liverpool,0,0,8,190464,1,False
Illan Meslier,GK,Leeds,0,0,1,2022-03-05,90,Leeds United,0,0,3,193241,3,False
Illan Meslier,GK,Leeds,0,0,3,2022-03-10,90,Aston Villa,0,0,6,193241,3,True
Illan Meslier,GK,Leeds,0,0,4,2022-04-30,90,Manchester City,0,0,2,181010,0,True
Illan Meslier,GK,Leeds,3,1,0,2022-04-25,90,Crystal Palace,0,0,7,178845,11,False
Illan Meslier,GK,Leeds,0,0,3,2021-09-12,90,Liverpool,0,0,5,252407,2,True
Illan Meslier,GK,Leeds,0,0,1,2021-09-17,90,Newcastle United,0,0,6,244209,4,False
Illan Meslier,GK,Leeds,0,0,2,2021-09-25,90,West Ham,0,0,5,240567,1,True
Illan Meslier,GK,Leeds,0,0,1,2021-10-23,90,Wolverhampton,0,0,3,240020,3,True
Illan Meslier,GK,Leeds,0,1,0,2021-10-02,90,Watford,0,0,1,243227,6,True
Illan Meslier,GK,Leeds,0,0,1,2021-10-16,90,Southampton,0,0,3,246335,3,False
Illan Meslier,GK,Leeds,1,0,1,2022-05-22,90,Brentford,0,0,4,186264,4,False
Illan Meslier,GK,Leeds,0,0,2,2022-05-08,90,Arsenal,0,0,7,183283,3,False
Illan Meslier,GK,Leeds,0,0,3,2022-05-11,90,Chelsea,0,0,0,183283,1,True
