name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.0,2021-12-19,0,Wolverhampton,425175,0,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,1,7.4,2021-12-16,90,Everton,433809,1,True
Jorge Luiz Frello Filho,MID,Chelsea,2,1,0,6.7,2021-10-30,90,Newcastle United,324233,10,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,1,2.2,2021-12-29,90,Brighton,558063,2,True
Jorge Luiz Frello Filho,MID,Chelsea,3,0,1,12.3,2021-12-26,90,Aston Villa,420563,15,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,1,1.5,2021-08-28,86,Liverpool,362021,2,False
Jorge Luiz Frello Filho,MID,Chelsea,3,0,2,12.3,2021-12-11,90,Leicester City,359034,15,True
Jorge Luiz Frello Filho,MID,Chelsea,0,1,0,4.3,2021-08-14,90,Crystal Palace,328061,3,True
Jorge Luiz Frello Filho,MID,Chelsea,2,0,1,7.6,2021-11-28,90,Manchester United,377099,8,True
Jorge Luiz Frello Filho,MID,Chelsea,0,1,0,2.9,2021-08-22,90,Arsenal,384379,3,False
Jorge Luiz Frello Filho,MID,Chelsea,0,1,0,4.5,2021-11-20,76,Leeds United,378416,3,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.0,2021-12-01,0,Watford,407179,0,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,1,6.2,2021-11-06,90,Burnley,382224,2,True
Jorge Luiz Frello Filho,MID,Chelsea,0,0,3,4.1,2021-12-04,90,West Ham,400464,1,False
Jorge Luiz Frello Filho,MID,Chelsea,0,1,0,2.7,2022-01-23,72,Tottenham,547913,2,True
Jorge Luiz Frello Filho,MID,Chelsea,1,1,0,4.6,2022-03-13,90,Newcastle United,423484,7,True
Jorge Luiz Frello Filho,MID,Chelsea,0,1,0,1.4,2022-02-19,73,Crystal Palace,426780,3,False
Jorge Luiz Frello Filho,MID,Chelsea,0,1,0,5.0,2022-03-05,90,Burnley,442233,3,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,1,1.2,2022-03-10,90,Norwich,442233,2,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.1,2022-01-02,20,Liverpool,510519,1,True
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.0,2022-01-15,0,Manchester City,674455,0,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.0,2022-05-07,0,Wolverhampton,365831,0,True
Jorge Luiz Frello Filho,MID,Chelsea,0,1,0,4.9,2022-05-11,90,Leicester City,365831,3,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,1,1.4,2022-01-18,79,Brighton,674455,2,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,1,7.1,2022-05-19,90,Leeds United,359531,1,True
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.0,2022-05-22,0,Watford,361881,0,True
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,2.9,2021-09-11,45,Aston Villa,364405,1,True
Jorge Luiz Frello Filho,MID,Chelsea,0,1,0,2.7,2021-09-19,90,Tottenham,342433,3,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,1,1.3,2021-09-25,75,Manchester City,326707,2,True
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.2,2021-10-02,17,Southampton,319202,1,True
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.0,2021-10-16,0,Brentford,309093,0,False
Jorge Luiz Frello Filho,MID,Chelsea,0,1,0,5.5,2021-10-23,63,Norwich,310585,6,True
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.0,2022-04-09,0,Southampton,409866,0,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.0,2022-04-02,0,Brentford,421885,0,True
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,1.7,2022-05-01,45,Everton,391543,1,False
Jorge Luiz Frello Filho,MID,Chelsea,0,1,0,6.8,2022-04-24,90,West Ham,395585,1,True
Jorge Luiz Frello Filho,MID,Chelsea,0,0,1,3.6,2022-04-28,90,Manchester United,395585,2,False
Jorge Luiz Frello Filho,MID,Chelsea,0,0,0,0.0,2022-04-20,0,Arsenal,390776,0,True
