name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,was_home
Harry Lewis,GK,Southampton,0,0,0,2022-02-25,0,Norwich,0,0,0,45258,0,True
Harry Lewis,GK,Southampton,0,0,0,2022-01-11,0,Brentford,0,0,0,2534,0,True
Harry Lewis,GK,Southampton,0,0,0,2021-12-26,0,West Ham,0,0,0,3729,0,False
Harry Lewis,GK,Southampton,0,0,0,2021-12-28,0,Tottenham,0,0,0,3117,0,True
Harry Lewis,GK,Southampton,0,0,0,2022-01-15,0,Wolverhampton,0,0,0,2473,0,False
Harry Lewis,GK,Southampton,0,0,0,2021-12-15,0,Crystal Palace,0,0,0,1865,0,False
Harry Lewis,GK,Southampton,0,0,0,2021-12-04,0,Brighton,0,0,0,0,0,True
Harry Lewis,GK,Southampton,0,0,0,2022-02-09,0,Tottenham,0,0,0,10413,0,False
Harry Lewis,GK,Southampton,0,0,0,2021-12-11,0,Arsenal,0,0,0,2432,0,False
Harry Lewis,GK,Southampton,0,0,0,2022-02-12,0,Manchester United,0,0,0,20421,0,False
Harry Lewis,GK,Southampton,0,0,0,2022-01-22,0,Manchester City,0,0,0,3055,0,True
Harry Lewis,GK,Southampton,0,0,0,2022-03-13,0,Watford,0,0,0,49171,0,True
Harry Lewis,GK,Southampton,0,0,0,2022-04-02,0,Leicester City,0,0,0,48234,0,False
Harry Lewis,GK,Southampton,0,0,0,2022-04-09,0,Chelsea,0,0,0,51275,0,True
Harry Lewis,GK,Southampton,0,0,0,2022-02-19,0,Everton,0,0,0,41421,0,True
Harry Lewis,GK,Southampton,0,0,0,2022-03-05,0,Aston Villa,0,0,0,33378,0,False
Harry Lewis,GK,Southampton,0,0,0,2022-03-10,0,Newcastle United,0,0,0,33378,0,True
Harry Lewis,GK,Southampton,0,0,0,2022-04-30,0,Crystal Palace,0,0,0,62563,0,True
Harry Lewis,GK,Southampton,0,0,0,2022-04-24,0,Brighton,0,0,0,60159,0,False
Harry Lewis,GK,Southampton,0,0,0,2022-04-16,0,Arsenal,0,0,0,60145,0,True
Harry Lewis,GK,Southampton,0,0,0,2022-04-21,0,Burnley,0,0,0,60145,0,False
Harry Lewis,GK,Southampton,0,0,0,2022-05-22,0,Leeds United,0,0,0,93061,0,False
Harry Lewis,GK,Southampton,0,0,0,2022-05-07,0,Brentford,0,0,0,75560,0,False
Harry Lewis,GKP,Southampton,0,0,0,2022-05-17,0,Liverpool,0,0,0,83667,0,True
