name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,was_home
Jordan Pickford,GK,Everton,0,0,1,2022-02-26,90,Manchester City,0,0,7,384962,4,True
Jordan Pickford,GK,Everton,0,0,3,2022-01-02,90,Brighton,0,0,2,499596,1,True
Jordan Pickford,GK,Everton,0,0,2,2022-01-15,90,Norwich,0,0,2,421714,1,False
Jordan Pickford,GK,Everton,3,0,1,2021-12-16,90,Chelsea,0,0,9,367782,8,False
Jordan Pickford,GK,Everton,0,0,2,2021-08-21,90,Leicester City,0,0,2,502827,1,False
Jordan Pickford,GK,Everton,0,0,1,2021-08-14,90,Southampton,0,0,2,446969,2,True
Jordan Pickford,GK,Everton,0,0,1,2021-11-28,90,Brentford,0,0,3,394101,3,False
Jordan Pickford,GK,Everton,0,1,0,2021-08-28,90,Brighton,0,0,3,493892,6,False
Jordan Pickford,GK,Everton,0,0,3,2021-12-12,90,Crystal Palace,0,0,3,374809,2,False
Jordan Pickford,GK,Everton,0,0,2,2021-11-01,90,Wolverhampton,0,0,2,426436,1,False
Jordan Pickford,GK,Everton,0,0,3,2021-11-21,90,Manchester City,0,0,4,399112,2,False
Jordan Pickford,GK,Everton,1,0,3,2022-02-08,90,Newcastle United,0,0,7,415270,4,False
Jordan Pickford,GK,Everton,0,0,4,2021-12-01,90,Liverpool,0,0,3,384835,1,True
Jordan Pickford,GK,Everton,0,1,0,2021-11-07,90,Tottenham,0,0,0,411471,6,True
Jordan Pickford,GK,Everton,0,0,1,2021-12-06,90,Arsenal,0,0,2,376571,2,True
Jordan Pickford,GK,Everton,3,1,0,2022-04-09,90,Manchester United,0,0,4,414613,9,True
Jordan Pickford,GK,Everton,0,0,2,2022-04-03,90,West Ham,0,0,4,426761,2,False
Jordan Pickford,GK,Everton,0,0,3,2022-04-06,90,Burnley,0,0,1,426761,1,False
Jordan Pickford,GK,Everton,0,1,0,2022-02-12,90,Leicester City,0,0,0,406119,6,True
Jordan Pickford,GKP,Everton,0,0,3,2022-05-15,90,Brentford,0,0,4,793504,2,True
Jordan Pickford,GKP,Everton,0,0,2,2022-05-19,90,Crystal Palace,0,0,3,793504,2,True
Jordan Pickford,GK,Everton,0,0,1,2022-01-22,90,Aston Villa,0,0,2,416579,2,True
Jordan Pickford,GK,Everton,3,1,0,2022-05-01,90,Chelsea,0,0,5,405308,10,True
Jordan Pickford,GK,Everton,0,0,2,2022-04-24,90,Liverpool,0,0,2,401591,1,False
Jordan Pickford,GK,Everton,0,0,1,2022-04-20,90,Leeds United,0,0,2,403536,2,True
Jordan Pickford,GK,Everton,0,0,1,2022-03-13,90,Wolverhampton,0,0,2,424424,2,True
Jordan Pickford,GK,Everton,0,0,0,2022-03-17,0,Newcastle United,0,0,0,424424,0,True
Jordan Pickford,GK,Everton,0,0,5,2022-03-07,90,Tottenham,0,0,3,389733,1,False
Jordan Pickford,GK,Everton,0,0,2,2022-02-19,90,Southampton,0,0,9,387141,4,False
Jordan Pickford,GK,Everton,0,0,1,2021-09-13,90,Burnley,0,0,5,603366,3,True
Jordan Pickford,GK,Everton,0,0,0,2021-09-18,0,Aston Villa,0,0,0,577123,0,False
Jordan Pickford,GK,Everton,0,1,0,2021-09-25,90,Norwich,0,0,2,443057,6,True
Jordan Pickford,GK,Everton,0,0,1,2021-10-02,90,Manchester United,0,0,5,432261,3,False
Jordan Pickford,GK,Everton,0,0,1,2021-10-17,90,West Ham,0,0,3,433202,3,True
Jordan Pickford,GK,Everton,0,0,5,2021-10-23,90,Watford,0,0,3,447989,1,True
Jordan Pickford,GK,Everton,0,0,0,2022-05-22,0,Arsenal,0,0,0,563730,0,False
Jordan Pickford,GK,Everton,2,0,1,2022-05-08,90,Leeds United,0,0,7,492771,6,False
Jordan Pickford,GK,Everton,0,1,0,2022-05-11,90,Watford,0,0,0,492771,6,False
