name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,total_points,was_home
Jan Bednarek,DEF,Southampton,2,0,2,8.5,2021-12-26,90,West Ham,0,56963,8,False
Jan Bednarek,DEF,Southampton,0,0,1,3.3,2021-12-28,90,Tottenham,0,67622,2,True
Jan Bednarek,DEF,Southampton,0,0,0,0.0,2021-12-15,0,Crystal Palace,0,58625,0,False
Jan Bednarek,DEF,Southampton,0,0,1,0.7,2021-08-22,45,Manchester United,0,76002,1,True
Jan Bednarek,DEF,Southampton,2,1,0,4.0,2021-10-30,90,Watford,0,63611,8,False
Jan Bednarek,DEF,Southampton,0,0,0,0.0,2021-08-28,0,Newcastle United,0,69190,0,False
Jan Bednarek,DEF,Southampton,0,0,3,2.5,2021-12-11,90,Arsenal,0,57242,1,False
Jan Bednarek,DEF,Southampton,0,0,0,0.0,2021-08-14,0,Everton,0,82735,0,False
Jan Bednarek,DEF,Southampton,0,0,3,0.9,2021-11-27,45,Liverpool,0,75526,-1,False
Jan Bednarek,DEF,Southampton,0,0,2,1.3,2022-02-09,90,Tottenham,1,97750,-1,False
Jan Bednarek,DEF,Southampton,0,0,2,4.4,2021-11-20,90,Norwich,0,84823,0,False
Jan Bednarek,DEF,Southampton,2,1,0,1.9,2021-11-05,90,Aston Villa,0,68821,8,True
Jan Bednarek,DEF,Southampton,3,0,2,10.2,2021-12-01,84,Leeds United,0,72919,10,True
Jan Bednarek,DEF,Southampton,0,0,1,1.2,2022-02-12,45,Manchester United,0,100360,1,False
Jan Bednarek,DEF,Southampton,0,0,0,0.0,2021-12-04,0,Brighton,0,64205,0,True
Jan Bednarek,DEF,Southampton,0,0,1,6.5,2022-01-22,70,Manchester City,0,94132,1,True
Jan Bednarek,DEF,Southampton,0,0,2,3.6,2022-03-13,90,Watford,0,146182,0,True
Jan Bednarek,DEF,Southampton,0,1,0,2.0,2022-02-19,90,Everton,0,89475,6,True
Jan Bednarek,DEF,Southampton,0,0,4,2.2,2022-03-05,90,Aston Villa,0,180415,0,False
Jan Bednarek,DEF,Southampton,0,0,2,3.4,2022-03-10,90,Newcastle United,0,180415,0,True
Jan Bednarek,DEF,Southampton,0,1,0,5.5,2022-02-25,90,Norwich,0,202469,6,True
Jan Bednarek,DEF,Southampton,0,0,1,8.0,2022-01-11,90,Brentford,0,87614,8,True
Jan Bednarek,DEF,Southampton,0,0,3,4.3,2022-01-15,90,Wolverhampton,0,89571,1,False
Jan Bednarek,DEF,Southampton,0,0,0,0.0,2021-09-11,0,West Ham,0,59224,0,True
Jan Bednarek,DEF,Southampton,3,1,0,3.5,2021-09-18,90,Manchester City,0,52260,9,False
Jan Bednarek,DEF,Southampton,0,0,0,0.0,2022-05-22,0,Leeds United,0,127374,0,False
Jan Bednarek,DEF,Southampton,0,0,1,3.8,2021-09-26,90,Wolverhampton,0,63082,2,True
Jan Bednarek,DEF,Southampton,0,0,3,1.8,2021-10-02,90,Chelsea,0,61484,1,False
Jan Bednarek,DEF,Southampton,0,1,0,0.9,2021-10-16,90,Leicester City,0,62317,5,True
Jan Bednarek,DEF,Southampton,0,0,3,2.2,2022-05-07,90,Brentford,0,137675,1,False
Jan Bednarek,DEF,Southampton,0,0,2,2.4,2021-10-23,90,Burnley,0,66481,1,True
Jan Bednarek,DEF,Southampton,0,0,6,1.1,2022-04-09,90,Chelsea,0,127276,-2,True
Jan Bednarek,DEF,Southampton,0,0,0,0.0,2022-05-17,0,Liverpool,0,127889,0,True
Jan Bednarek,DEF,Southampton,0,0,1,5.3,2022-04-02,90,Leicester City,0,129106,2,False
Jan Bednarek,DEF,Southampton,0,0,2,2.1,2022-04-30,90,Crystal Palace,0,153488,0,True
Jan Bednarek,DEF,Southampton,0,0,2,2.8,2022-04-24,90,Brighton,0,146765,1,False
Jan Bednarek,DEF,Southampton,3,1,0,9.1,2022-04-16,90,Arsenal,0,139733,15,True
Jan Bednarek,DEF,Southampton,0,0,2,1.8,2022-04-21,90,Burnley,0,139733,0,False
