name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-12-19,0,Liverpool,9226,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-03-20,0,West Ham,8921,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-12-26,0,Crystal Palace,9277,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-12-28,0,Southampton,9182,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.6,2021-08-15,13,Manchester City,10720,1,True
Giovani Lo Celso,MID,Spurs,0,0,0,2.4,2021-08-22,23,Wolverhampton,12147,1,False
Giovani Lo Celso,MID,Spurs,0,0,2,5.4,2021-10-30,72,Manchester United,9532,2,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-02-26,0,Leicester City,9108,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-08-29,0,Watford,11678,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.4,2022-01-01,7,Watford,9182,1,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-12-05,0,Norwich,9159,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-02-09,0,Southampton,9541,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-12-02,0,Brentford,9457,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-11-07,19,Everton,10254,1,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-11-21,0,Leicester City,10449,0,True
Giovani Lo Celso,MID,Spurs,0,0,1,1.0,2022-01-19,16,Leeds United,10264,1,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-02-13,0,Wolverhampton,9373,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-01-23,0,Chelsea,9823,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-03-12,0,Manchester United,8960,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-03-16,0,Brighton,8960,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-02-19,0,Manchester City,9209,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-02-23,0,Burnley,9209,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-03-07,0,Everton,9029,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-04-09,0,Aston Villa,8865,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-04-03,0,Newcastle United,8891,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-05-01,0,Leeds United,8791,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-04-23,0,Brentford,8814,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-04-16,0,Brighton,8838,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-05-15,0,Burnley,8736,0,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-09-11,0,Crystal Palace,9418,0,False
Giovani Lo Celso,MID,Spurs,0,0,2,2.9,2021-09-19,61,Chelsea,8276,2,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-09-26,0,Arsenal,8696,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.5,2021-10-24,6,West Ham,9283,1,False
Giovani Lo Celso,MID,Spurs,0,0,0,3.6,2021-10-03,14,Aston Villa,9241,1,True
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2021-10-17,0,Newcastle United,9213,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-05-22,0,Norwich,8714,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-05-07,0,Liverpool,8767,0,False
Giovani Lo Celso,MID,Spurs,0,0,0,0.0,2022-05-12,0,Arsenal,8767,0,True
