name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Joshua Sargent,FWD,Norwich,0,0.9,2021-12-26,71,Arsenal,11573,2,True
Joshua Sargent,FWD,Norwich,0,0.2,2021-12-28,9,Crystal Palace,13251,1,False
Joshua Sargent,FWD,Norwich,0,0.0,2021-12-14,0,Aston Villa,14292,0,True
Joshua Sargent,FWD,Norwich,0,0.7,2021-08-14,13,Liverpool,8779,1,True
Joshua Sargent,FWD,Norwich,0,0.3,2021-08-21,13,Manchester City,11038,1,False
Joshua Sargent,FWD,Norwich,0,1.4,2021-08-28,17,Leeds United,10839,1,True
Joshua Sargent,FWD,Norwich,0,0.9,2021-10-31,76,Leicester City,11532,2,True
Joshua Sargent,FWD,Norwich,0,1.3,2021-11-27,67,Wolverhampton,11736,2,True
Joshua Sargent,FWD,Norwich,0,1.0,2021-12-05,21,Tottenham,12127,1,False
Joshua Sargent,FWD,Norwich,0,0.0,2022-02-09,0,Crystal Palace,34819,0,True
Joshua Sargent,FWD,Norwich,0,0.2,2021-11-06,12,Brentford,12240,1,False
Joshua Sargent,FWD,Norwich,0,3.6,2021-12-11,90,Manchester United,11854,2,True
Joshua Sargent,FWD,Norwich,0,3.6,2021-11-30,66,Newcastle United,12106,2,False
Joshua Sargent,FWD,Norwich,0,2.1,2021-11-20,45,Southampton,11979,1,True
Joshua Sargent,FWD,Norwich,0,0.6,2022-02-12,86,Manchester City,31981,2,True
Joshua Sargent,FWD,Norwich,3,13.6,2022-01-21,90,Watford,12196,13,False
Joshua Sargent,FWD,Norwich,0,2.4,2022-03-13,61,Leicester City,43441,2,False
Joshua Sargent,FWD,Norwich,0,1.7,2022-03-05,90,Brentford,45629,2,True
Joshua Sargent,FWD,Norwich,0,0.7,2022-03-10,83,Chelsea,45629,2,True
Joshua Sargent,FWD,Norwich,0,5.1,2022-02-19,75,Liverpool,38680,5,False
Joshua Sargent,FWD,Norwich,0,2.1,2022-02-25,90,Southampton,47511,2,False
Joshua Sargent,FWD,Norwich,0,0.0,2022-01-12,0,West Ham,12079,0,False
Joshua Sargent,FWD,Norwich,0,6.5,2022-01-15,86,Everton,11605,4,True
Joshua Sargent,FWD,Norwich,0,0.0,2021-09-11,0,Arsenal,10467,0,False
Joshua Sargent,FWD,Norwich,0,3.7,2021-09-18,69,Watford,8733,2,True
Joshua Sargent,FWD,Norwich,0,0.8,2021-09-25,90,Everton,8904,2,False
Joshua Sargent,FWD,Norwich,0,0.7,2021-10-23,68,Chelsea,10361,2,False
Joshua Sargent,FWD,Norwich,0,6.0,2021-10-02,89,Burnley,8936,2,False
Joshua Sargent,FWD,Norwich,0,7.9,2021-10-16,75,Brighton,9698,2,True
Joshua Sargent,FWD,Norwich,0,0.0,2022-05-22,0,Tottenham,21693,0,True
Joshua Sargent,FWD,Norwich,0,0.0,2022-04-10,0,Burnley,32557,0,True
Joshua Sargent,FWD,Norwich,0,0.0,2022-04-02,0,Brighton,38841,0,False
Joshua Sargent,FWD,Norwich,0,0.0,2022-05-15,0,Wolverhampton,22308,0,False
Joshua Sargent,FWD,Norwich,0,0.0,2022-05-08,0,West Ham,23456,0,True
Joshua Sargent,FWD,Norwich,0,0.0,2022-05-11,0,Leeds United,23456,0,False
Joshua Sargent,FWD,Norwich,0,0.0,2022-04-30,14,Aston Villa,25361,1,False
Joshua Sargent,FWD,Norwich,0,0.0,2022-04-23,0,Newcastle United,26622,0,True
Joshua Sargent,FWD,Norwich,0,0.0,2022-04-16,0,Manchester United,28790,0,False
