name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,starts,total_points,was_home
Harry Toffolo,DEF,Nott'm Forest,0,0,0.6,1,1.9,2024-03-16,90,Luton,0,188704,1,1,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-08-12,0,Arsenal,0,4471,0,0,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-08-18,0,Sheffield,0,4951,0,0,True
Harry Toffolo,DEF,Nott'm Forest,0,0,2.52,5,1.9,2023-12-06,90,Fulham,0,19733,1,0,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-08-26,0,Manchester United,0,4824,0,0,False
Harry Toffolo,DEF,Nott'm Forest,0,0,1.53,2,5.9,2023-12-15,90,Tottenham,0,21609,1,0,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.32,0,0.1,2023-12-30,3,Manchester United,0,17629,0,1,True
Harry Toffolo,DEF,Nott'm Forest,0,0,1.54,3,5.3,2023-11-12,90,West Ham,0,9273,1,1,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-12-26,0,Newcastle United,0,20254,0,0,False
Harry Toffolo,DEF,Nott'm Forest,0,0,1.46,3,9.0,2023-11-25,90,Brighton,0,15975,1,0,True
Harry Toffolo,DEF,Nott'm Forest,0,0,1.17,1,11.1,2023-12-09,90,Wolverhampton,0,18098,1,8,False
Harry Toffolo,DEF,Nott'm Forest,3,1,1.13,0,6.7,2023-11-05,70,Aston Villa,0,7854,1,15,True
Harry Toffolo,DEF,Nott'm Forest,0,0,1.66,1,1.2,2024-02-24,45,Aston Villa,0,12774,0,1,False
Harry Toffolo,DEF,Nott'm Forest,0,0,1.54,2,2.7,2023-12-23,84,Bournemouth,0,19866,1,1,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-10,0,Newcastle United,0,13917,0,0,True
Harry Toffolo,DEF,Nott'm Forest,0,0,2.07,1,3.1,2024-03-02,90,Liverpool,0,12142,1,2,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.51,1,0.0,2023-10-29,21,Liverpool,0,8209,0,1,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-04,0,Bournemouth,0,14767,0,0,False
Harry Toffolo,DEF,Nott'm Forest,0,0,1.23,2,6.4,2024-01-30,90,Arsenal,0,15733,1,1,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.7,1,3.7,2023-12-02,81,Everton,0,21111,1,2,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.46,1,1.2,2024-03-10,90,Brighton,0,12853,1,2,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-01-20,0,Brentford,0,16277,0,0,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.03,0,0.1,2024-03-30,6,Crystal Palace,0,31407,0,1,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-17,0,West Ham,0,12950,0,0,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.06,0,0.1,2024-04-02,7,Fulham,0,27835,0,1,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-04-07,0,Tottenham,0,24081,0,0,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-04-13,0,Wolverhampton,0,22432,0,0,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-04-21,0,Everton,0,19994,0,0,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-04-28,0,Manchester City,0,18891,0,0,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.11,0,0.1,2024-05-04,7,Sheffield,0,18473,0,1,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.58,2,0.3,2024-05-11,18,Chelsea,0,16427,0,0,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-09-02,0,Chelsea,0,4650,0,0,False
Harry Toffolo,DEF,Nott'm Forest,0,0,1.21,1,1.7,2024-05-19,90,Burnley,0,15976,1,2,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-09-23,0,Manchester City,0,4454,0,0,False
Harry Toffolo,DEF,Nott'm Forest,0,0,0.88,0,4.3,2023-10-01,30,Brentford,0,4326,0,4,True
Harry Toffolo,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-09-18,0,Burnley,0,4558,0,0,True
Harry Toffolo,DEF,Nott'm Forest,0,1,0.81,0,5.8,2023-10-07,90,Crystal Palace,0,4706,1,6,False
Harry Toffolo,DEF,Nott'm Forest,0,0,1.71,2,6.7,2023-10-21,90,Luton,0,7921,1,1,True
