name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,starts,total_points,was_home
Norberto Murara Neto,GK,Bournemouth,3,0,3.08,3,2023-08-19,90,Liverpool,0,1,8,68815,1,10,False
Norberto Murara Neto,GK,Bournemouth,0,0,1.07,1,2023-08-12,90,West Ham,0,0,1,62624,1,2,True
Norberto Murara Neto,GK,Bournemouth,0,0,1.64,1,2024-02-24,90,Manchester City,0,0,5,365556,1,3,True
Norberto Murara Neto,GK,Bournemouth,0,0,2.06,2,2023-08-26,90,Tottenham,0,0,4,94977,1,2,True
Norberto Murara Neto,GK,Bournemouth,0,0,0.75,2,2023-12-23,90,Nottingham Forest,0,0,2,339829,1,1,False
Norberto Murara Neto,GK,Bournemouth,0,0,0.0,0,2023-10-28,0,Burnley,0,0,0,161725,0,0,True
Norberto Murara Neto,GK,Bournemouth,0,0,0.0,0,2023-11-04,0,Manchester City,0,0,0,129404,0,0,False
Norberto Murara Neto,GK,Bournemouth,2,1,0.51,0,2023-11-11,90,Newcastle United,0,0,5,118636,1,9,True
Norberto Murara Neto,GK,Bournemouth,0,0,0.81,1,2023-11-25,90,Sheffield,0,0,1,140293,1,2,False
Norberto Murara Neto,GK,Bournemouth,0,0,2.33,3,2023-12-31,90,Tottenham,0,0,3,364578,1,2,False
Norberto Murara Neto,GK,Bournemouth,0,1,1.16,0,2023-12-09,90,Manchester United,0,0,3,171032,1,7,False
Norberto Murara Neto,GK,Bournemouth,1,1,0.84,0,2023-12-06,90,Crystal Palace,0,0,3,148765,1,8,False
Norberto Murara Neto,GK,Bournemouth,2,1,0.28,0,2023-12-26,90,Fulham,0,0,3,352129,1,9,True
Norberto Murara Neto,GK,Bournemouth,0,0,0.68,2,2023-12-03,90,Aston Villa,0,0,1,137375,1,1,True
Norberto Murara Neto,GK,Bournemouth,0,0,1.31,1,2024-02-01,90,West Ham,0,0,2,361934,1,2,False
Norberto Murara Neto,GK,Bournemouth,0,0,1.61,4,2024-01-21,90,Liverpool,0,0,3,366814,1,1,True
Norberto Murara Neto,GK,Bournemouth,1,0,0.56,1,2024-02-04,90,Nottingham Forest,0,0,5,363928,1,3,True
Norberto Murara Neto,GK,Bournemouth,0,0,1.55,3,2024-02-10,90,Fulham,0,0,4,366537,1,2,False
Norberto Murara Neto,GK,Bournemouth,1,1,1.53,0,2024-03-03,90,Burnley,0,0,5,446058,1,8,False
Norberto Murara Neto,GK,Bournemouth,0,0,1.12,1,2024-03-30,90,Everton,0,0,2,675056,1,2,True
Norberto Murara Neto,GK,Bournemouth,0,0,1.27,2,2024-03-09,90,Sheffield,0,0,7,733169,1,3,True
Norberto Murara Neto,GK,Bournemouth,0,0,2.1,3,2024-03-13,90,Luton,0,0,1,733169,1,1,True
Norberto Murara Neto,GK,Bournemouth,0,0,2.26,2,2024-02-17,90,Newcastle United,0,0,4,339170,1,2,False
Norberto Murara Neto,GK,Bournemouth,1,1,0.11,0,2024-04-02,90,Crystal Palace,0,0,2,689457,1,7,True
Norberto Murara Neto,GK,Bournemouth,0,0,3.29,2,2023-09-02,90,Brentford,0,0,5,101068,1,1,False
Norberto Murara Neto,GK,Bournemouth,1,0,1.4,2,2024-04-06,90,Luton,0,0,7,739473,1,4,False
Norberto Murara Neto,GK,Bournemouth,2,1,1.71,0,2023-09-17,90,Chelsea,0,0,6,101121,1,10,True
Norberto Murara Neto,GK,Bournemouth,0,0,2.71,3,2023-10-07,90,Everton,0,0,5,170608,1,1,False
Norberto Murara Neto,GK,Bournemouth,0,0,1.18,2,2024-04-13,90,Manchester United,0,0,0,740905,1,0,True
Norberto Murara Neto,GK,Bournemouth,0,0,1.87,3,2023-09-24,90,Brighton,0,0,2,142305,1,1,False
Norberto Murara Neto,GK,Bournemouth,0,0,2.06,2,2023-10-21,90,Wolverhampton,0,0,5,172629,1,2,True
Norberto Murara Neto,GK,Bournemouth,0,0,3.47,4,2023-09-30,90,Arsenal,0,0,4,153246,1,1,True
Norberto Murara Neto,GK,Bournemouth,0,0,0.0,0,2024-05-04,0,Arsenal,0,0,0,613329,0,0,False
Norberto Murara Neto,GK,Bournemouth,0,0,0.99,2,2024-05-19,90,Chelsea,0,0,4,456720,1,2,False
Norberto Murara Neto,GK,Bournemouth,0,0,0.0,0,2024-04-28,0,Brighton,0,0,0,678565,0,0,True
Norberto Murara Neto,GK,Bournemouth,0,0,2.35,3,2024-04-21,90,Aston Villa,0,0,1,807685,1,1,False
Norberto Murara Neto,GK,Bournemouth,0,0,0.0,0,2024-04-24,0,Wolverhampton,0,0,0,807685,0,0,False
Norberto Murara Neto,GK,Bournemouth,0,0,0.0,0,2024-05-11,0,Brentford,0,0,0,494533,0,0,True
