name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA
Cieran Slicker,Man City,Burnley,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Brighton,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Crystal Palace,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Manchester United,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Everton,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,West Ham,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Aston Villa,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Watford,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Wolverhampton,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Leicester City,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Newcastle United,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Leeds United,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Brentford,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Arsenal,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Chelsea,2022-01-15,True,0,0,0,0,0,0,0,0.0737714692950248
Cieran Slicker,Man City,Southampton,2022-01-22,False,0,0,0,0,0,0,0,0.0
Cieran Slicker,Man City,Brentford,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Norwich,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Tottenham,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Everton,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Manchester United,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Crystal Palace,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Burnley,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Liverpool,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Brighton,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Watford,,True,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Leicester City,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Newcastle United,2022-05-08,True,0,0,0,0,0,0,0,0.0532706752419471
Cieran Slicker,Man City,Wolverhampton,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,West Ham,,False,0,0,0,0,0,0,0,
Cieran Slicker,Man City,Aston Villa,2022-05-22,True,0,0,0,0,0,0,0,0.0
