Opponent,Home Difficulty,Away Difficulty
Arsenal,-0.8248213566382057,2.4919342797951503
Bournemouth,,2.245983891967043
Brentford,-3.3448358410558017,-0.13375414214991527
Brighton,-3.9773156595962784,-2.0801812672927014
Burnley,,-4.294566264775526
Chelsea,2.303439750862318,1.3714836279574167
Crystal Palace,-1.7025382934221711,1.06782163969039
Everton,-2.4497702011575324,
Fulham,-3.5294168723109993,4.117696959030394
Ipswich Town,,
Leeds United,-3.6175878890169977,
Leicester City,-0.2776962408163371,0.15828416858350414
Liverpool,2.816422828685195,1.4983116417768583
Luton,-1.8399569941639022,
Manchester City,-0.8111498569578778,
Manchester United,-3.019597118758246,-0.060428207882058715
Newcastle United,-3.474724153635307,6.535456671307403
Norwich,,-3.96964335962708
Nottingham Forest,,3.2505861517608556
Sheffield,1.1681636930736043,
Southampton,-1.3513449165070028,1.7536507513530197
Tottenham,,-1.0418102514607426
Watford,,1.9376001900822413
West Ham,1.116497550422176,
Wolverhampton,0.8551184713081776,0.6367896843530412
