name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Stuart Armstrong,MID,Southampton,0,0,2,0.6,2022-08-06,45,Tottenham,0,1,False
Stuart Armstrong,MID,Southampton,0,0,4,0.3,2022-10-08,65,Manchester City,0,2,False
Stuart Armstrong,MID,Southampton,0,0,0,0.5,2022-10-16,16,West Ham,0,1,True
Stuart Armstrong,MID,Southampton,0,0,0,0.6,2022-10-19,24,Bournemouth,0,0,False
Stuart Armstrong,MID,Southampton,2,0,1,11.4,2022-10-23,79,Arsenal,0,9,True
Stuart Armstrong,MID,Southampton,0,0,1,3.6,2022-10-29,85,Crystal Palace,0,2,False
Stuart Armstrong,MID,Southampton,0,0,3,2.5,2022-11-06,63,Newcastle United,0,2,True
Stuart Armstrong,MID,Southampton,0,0,3,0.6,2022-11-12,57,Liverpool,1,1,False
Stuart Armstrong,MID,Southampton,0,0,1,1.9,2022-12-26,45,Brighton,0,1,True
Stuart Armstrong,MID,Southampton,0,0,1,0.9,2022-12-31,23,Fulham,0,1,False
Stuart Armstrong,MID,Southampton,0,0,0,1.3,2023-01-04,5,Nottingham Forest,0,0,True
Stuart Armstrong,MID,Southampton,0,0,2,4.2,2022-08-13,60,Leicester City,0,2,True
Stuart Armstrong,MID,Southampton,0,0,0,0.0,2023-01-14,0,Everton,0,0,False
Stuart Armstrong,MID,Southampton,0,0,0,0.0,2023-01-21,0,Aston Villa,0,0,True
Stuart Armstrong,MID,Southampton,0,0,0,0.0,2023-02-04,0,Brentford,0,0,False
Stuart Armstrong,MID,Southampton,0,0,0,0.0,2023-02-11,1,Wolverhampton,0,1,True
Stuart Armstrong,MID,Southampton,0,0,0,0.6,2023-02-18,58,Chelsea,1,3,False
Stuart Armstrong,MID,Southampton,0,1,0,0.7,2023-02-25,62,Leicester City,1,2,False
Stuart Armstrong,MID,Southampton,0,0,0,0.3,2023-03-04,10,Leeds United,0,1,True
Stuart Armstrong,MID,Southampton,0,0,0,3.2,2023-03-12,35,Manchester United,0,1,False
Stuart Armstrong,MID,Southampton,0,0,0,0.0,2023-03-15,0,Brentford,0,0,True
Stuart Armstrong,MID,Southampton,0,0,2,3.0,2023-03-18,69,Tottenham,1,2,True
Stuart Armstrong,MID,Southampton,0,0,1,3.5,2023-04-02,71,West Ham,1,2,False
Stuart Armstrong,MID,Southampton,0,0,0,1.6,2022-08-20,20,Leeds United,0,1,False
Stuart Armstrong,MID,Southampton,0,0,2,0.1,2023-04-08,29,Manchester City,0,1,True
Stuart Armstrong,MID,Southampton,0,0,0,0.3,2023-04-15,10,Crystal Palace,0,1,True
Stuart Armstrong,MID,Southampton,0,0,0,0.0,2023-04-21,0,Arsenal,0,0,False
Stuart Armstrong,MID,Southampton,0,0,0,0.0,2023-04-27,29,Bournemouth,0,1,True
Stuart Armstrong,MID,Southampton,0,0,1,9.3,2023-04-30,70,Newcastle United,1,6,False
Stuart Armstrong,MID,Southampton,0,0,4,5.0,2023-05-08,75,Nottingham Forest,1,5,False
Stuart Armstrong,MID,Southampton,0,0,2,3.0,2023-05-13,72,Fulham,1,2,True
Stuart Armstrong,MID,Southampton,0,0,0,0.3,2023-05-21,19,Brighton,0,1,False
Stuart Armstrong,MID,Southampton,0,0,2,0.0,2023-05-28,26,Liverpool,0,1,True
Stuart Armstrong,MID,Southampton,0,0,0,2.6,2022-08-27,27,Manchester United,0,1,True
Stuart Armstrong,MID,Southampton,0,0,0,0.0,2022-08-30,0,Chelsea,0,0,True
Stuart Armstrong,MID,Southampton,0,0,0,2.9,2022-09-03,34,Wolverhampton,0,1,False
Stuart Armstrong,MID,Southampton,0,0,0,0.9,2022-09-16,19,Aston Villa,0,1,False
Stuart Armstrong,MID,Southampton,0,0,2,8.7,2022-10-01,88,Everton,0,1,True
