name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Daniel Castelo Podence,MID,Wolves,3,0,2,11.0,2022-08-06,90,Leicester City,0,10,False
Daniel Castelo Podence,MID,Wolves,0,0,3,3.2,2022-10-08,90,Chelsea,0,2,False
Daniel Castelo Podence,MID,Wolves,0,1,0,3.1,2022-10-15,90,Nottingham Forest,0,2,True
Daniel Castelo Podence,MID,Wolves,0,0,2,7.1,2022-10-18,90,Crystal Palace,0,2,False
Daniel Castelo Podence,MID,Wolves,0,0,4,12.1,2022-10-23,90,Leeds United,0,2,True
Daniel Castelo Podence,MID,Wolves,0,0,1,12.1,2022-10-29,90,Brentford,0,1,False
Daniel Castelo Podence,MID,Wolves,0,0,2,0.3,2022-11-05,45,Brighton,0,4,True
Daniel Castelo Podence,MID,Wolves,0,0,1,3.7,2022-11-12,22,Arsenal,0,1,True
Daniel Castelo Podence,MID,Wolves,0,0,1,9.0,2022-12-26,72,Everton,1,6,False
Daniel Castelo Podence,MID,Wolves,0,0,1,6.2,2022-12-31,80,Manchester United,1,2,True
Daniel Castelo Podence,MID,Wolves,1,0,0,7.2,2023-01-04,45,Aston Villa,1,7,False
Daniel Castelo Podence,MID,Wolves,0,1,0,2.3,2022-08-13,90,Fulham,0,2,True
Daniel Castelo Podence,MID,Wolves,0,1,0,6.8,2023-01-14,63,West Ham,1,8,True
Daniel Castelo Podence,MID,Wolves,0,0,0,4.5,2023-01-22,23,Manchester City,0,1,False
Daniel Castelo Podence,MID,Wolves,0,0,0,0.3,2023-02-04,7,Liverpool,0,1,True
Daniel Castelo Podence,MID,Wolves,0,0,0,0.0,2023-02-11,0,Southampton,0,0,False
Daniel Castelo Podence,MID,Wolves,0,0,0,0.5,2023-02-18,29,Bournemouth,0,1,True
Daniel Castelo Podence,MID,Wolves,0,0,0,0.0,2023-02-24,14,Fulham,0,1,False
Daniel Castelo Podence,MID,Wolves,0,0,2,0.8,2023-03-01,26,Liverpool,0,1,False
Daniel Castelo Podence,MID,Wolves,0,0,0,0.0,2023-03-04,0,Tottenham,0,0,True
Daniel Castelo Podence,MID,Wolves,0,0,1,1.7,2023-03-12,68,Newcastle United,1,1,False
Daniel Castelo Podence,MID,Wolves,0,0,2,8.2,2023-03-18,56,Leicester City,1,1,True
Daniel Castelo Podence,MID,Wolves,3,0,0,5.5,2023-04-01,45,Nottingham Forest,0,9,False
Daniel Castelo Podence,MID,Wolves,0,0,0,3.2,2022-08-20,58,Tottenham,0,1,False
Daniel Castelo Podence,MID,Wolves,0,1,0,4.2,2023-04-08,63,Chelsea,1,3,True
Daniel Castelo Podence,MID,Wolves,0,0,0,0.0,2023-04-15,0,Brentford,0,0,True
Daniel Castelo Podence,MID,Wolves,0,0,0,1.7,2023-04-22,9,Leeds United,0,1,False
Daniel Castelo Podence,MID,Wolves,0,0,0,0.0,2023-04-25,0,Crystal Palace,0,0,True
Daniel Castelo Podence,MID,Wolves,0,0,2,3.0,2023-04-29,45,Brighton,0,1,False
Daniel Castelo Podence,MID,Wolves,0,0,0,0.0,2023-05-06,0,Aston Villa,0,0,True
Daniel Castelo Podence,MID,Wolves,0,0,1,1.0,2023-05-13,29,Manchester United,0,1,False
Daniel Castelo Podence,MID,Wolves,0,1,0,3.0,2023-05-20,69,Everton,1,3,True
Daniel Castelo Podence,MID,Wolves,0,0,0,0.0,2023-05-28,0,Arsenal,0,0,False
Daniel Castelo Podence,MID,Wolves,0,0,1,0.0,2022-08-28,7,Newcastle United,0,1,True
Daniel Castelo Podence,MID,Wolves,0,0,0,6.1,2022-08-31,15,Bournemouth,0,1,False
Daniel Castelo Podence,MID,Wolves,3,1,0,10.6,2022-09-03,81,Southampton,0,11,True
Daniel Castelo Podence,MID,Wolves,0,0,3,2.0,2022-09-17,69,Manchester City,0,2,True
Daniel Castelo Podence,MID,Wolves,0,0,2,6.4,2022-10-01,90,West Ham,0,2,False
