name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,starts,total_points,was_home
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-08-06,0,Bournemouth,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-10-10,0,Nottingham Forest,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-10-16,0,Chelsea,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-10-20,0,Fulham,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-10-23,0,Brentford,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-10-29,0,Newcastle United,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-11-06,0,Manchester United,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.3212,0,0.0,2022-11-13,8,Brighton,0,0,1,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-12-26,0,Liverpool,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-01-01,0,Tottenham,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.2143,0,4.0,2023-01-04,23,Wolverhampton,0,0,1,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-08-13,0,Everton,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-01-13,0,Leicester City,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-01-21,0,Southampton,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-02-04,0,Leeds United,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-02-12,0,Manchester City,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-02-18,0,Arsenal,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-02-25,0,Everton,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-03-04,0,Crystal Palace,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-03-12,0,West Ham,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-03-18,0,Bournemouth,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-04-01,0,Chelsea,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-04-04,0,Leeds United,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-08-20,0,Crystal Palace,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-04-08,0,Nottingham Forest,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-04-15,0,Newcastle United,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-04-22,0,Brentford,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-04-25,0,Fulham,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-04-30,0,Manchester United,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-05-06,0,Wolverhampton,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-05-13,0,Tottenham,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-05-20,0,Liverpool,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2023-05-28,0,Brighton,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-08-28,0,West Ham,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-08-31,0,Arsenal,0,0,0,False
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-09-03,0,Manchester City,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.0,2022-09-16,0,Southampton,0,0,0,True
Ludwig Augustinsson,DEF,Aston Villa,0,0,0.0,0,0.2,2022-10-02,45,Leicester City,0,0,0,False
