name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,starts,total_points,was_home
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-08-13,0,Fulham,0,0,0,True
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-08-06,0,Leicester City,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-10-18,0,Crystal Palace,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-10-23,0,Leeds United,0,0,0,True
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-10-29,0,Brentford,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.0,3,2.2,2022-10-08,90,Chelsea,0,0,1,False
Toti António Gomes,DEF,Wolves,1,1,0.0,0,3.5,2022-10-15,90,Nottingham Forest,0,0,7,True
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-11-05,0,Brighton,0,0,0,True
Toti António Gomes,DEF,Wolves,0,0,1.7706,2,1.4,2022-11-12,79,Arsenal,0,1,0,True
Toti António Gomes,DEF,Wolves,0,0,0.6847,0,0.8,2022-12-26,12,Everton,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.3528,1,0.2,2022-12-31,17,Manchester United,0,0,1,True
Toti António Gomes,DEF,Wolves,0,0,0.7616,0,1.2,2023-01-04,11,Aston Villa,0,0,1,False
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2023-03-18,0,Leicester City,0,0,0,True
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2023-01-22,0,Manchester City,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-08-20,0,Tottenham,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2023-02-04,0,Liverpool,0,0,0,True
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2023-02-24,0,Fulham,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.5023,0,0.7,2023-01-14,7,West Ham,0,0,1,True
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2023-03-01,0,Liverpool,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2023-03-04,0,Tottenham,0,0,0,True
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2023-02-18,0,Bournemouth,0,0,0,True
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2023-02-11,0,Southampton,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2023-03-12,0,Newcastle United,0,0,0,False
Toti António Gomes,DEF,Wolves,0,1,1.05,0,4.2,2023-04-08,90,Chelsea,0,1,6,True
Toti António Gomes,DEF,Wolves,0,0,1.26,1,5.5,2023-04-01,90,Nottingham Forest,0,1,1,False
Toti António Gomes,DEF,Wolves,0,1,1.18,0,2.2,2023-04-15,90,Brentford,0,1,6,True
Toti António Gomes,DEF,Wolves,0,0,2.15,2,1.6,2023-04-22,83,Leeds United,0,1,0,False
Toti António Gomes,DEF,Wolves,0,0,0.18,0,0.0,2023-04-25,11,Crystal Palace,0,0,0,True
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-08-28,0,Newcastle United,0,0,0,True
Toti António Gomes,DEF,Wolves,3,1,1.57,0,6.9,2023-05-06,90,Aston Villa,0,1,14,True
Toti António Gomes,DEF,Wolves,0,0,1.65,1,1.8,2023-05-13,61,Manchester United,0,1,2,False
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-08-31,0,Bournemouth,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.71,1,0.0,2023-05-28,22,Arsenal,0,0,1,False
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-09-03,0,Southampton,0,0,0,True
Toti António Gomes,DEF,Wolves,0,0,1.98,1,3.5,2023-05-20,90,Everton,0,1,2,True
Toti António Gomes,DEF,Wolves,0,0,1.39,2,0.8,2023-04-29,45,Brighton,0,0,0,False
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-09-17,0,Manchester City,0,0,0,True
Toti António Gomes,DEF,Wolves,0,0,0.0,0,0.0,2022-10-01,0,West Ham,0,0,0,False
