name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Ciaran Clark,Newcastle,Nottingham Forest,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Brentford,-2.4,0.69
Ciaran Clark,Newcastle,Brentford,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Manchester United,1.2,-0.1
Ciaran Clark,Newcastle,Manchester United,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Everton,-5.87,0.34
Ciaran Clark,Newcastle,Everton,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Tottenham,4.75,-0.03
Ciaran Clark,Newcastle,Tottenham,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Aston Villa,-2.14,0.55
Ciaran Clark,Newcastle,Aston Villa,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Southampton,-1.93,-1.07
Ciaran Clark,Newcastle,Southampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Chelsea,1.87,-0.25
Ciaran Clark,Newcastle,Chelsea,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Leeds United,6.23,-0.8
Ciaran Clark,Newcastle,Leeds United,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Leicester City,-1.01,0.83
Ciaran Clark,Newcastle,Leicester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Arsenal,2.9,-0.0
Ciaran Clark,Newcastle,Arsenal,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Brighton,-0.9,-0.39
Ciaran Clark,Newcastle,Brighton,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Fulham,,-0.3
Ciaran Clark,Newcastle,Fulham,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Crystal Palace,-1.13,0.13
Ciaran Clark,Newcastle,Crystal Palace,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,West Ham,0.49,0.63
Ciaran Clark,Newcastle,West Ham,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Bournemouth,,0.19
Ciaran Clark,Newcastle,Bournemouth,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Liverpool,1.47,-0.53
Ciaran Clark,Newcastle,Liverpool,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Manchester City,4.63,-1.26
Ciaran Clark,Newcastle,Manchester City,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Wolverhampton,-2.98,-0.48
Ciaran Clark,Newcastle,Wolverhampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Nottingham Forest,,
Ciaran Clark,Newcastle,Nottingham Forest,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Manchester United,-0.55,0.38
Ciaran Clark,Newcastle,Manchester United,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,West Ham,,0.14
Ciaran Clark,Newcastle,West Ham,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Manchester City,4.58,-1.17
Ciaran Clark,Newcastle,Manchester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Brentford,,-0.55
Ciaran Clark,Newcastle,Brentford,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Aston Villa,3.3,0.59
Ciaran Clark,Newcastle,Aston Villa,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Tottenham,-0.29,1.07
Ciaran Clark,Newcastle,Tottenham,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Everton,,-0.63
Ciaran Clark,Newcastle,Everton,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Southampton,0.18,-0.38
Ciaran Clark,Newcastle,Southampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Arsenal,,0.36
Ciaran Clark,Newcastle,Arsenal,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Leicester City,,-0.05
Ciaran Clark,Newcastle,Leicester City,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Brighton,,-0.71
Ciaran Clark,Newcastle,Brighton,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Leeds United,,-0.79
Ciaran Clark,Newcastle,Leeds United,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Chelsea,,-0.72
Ciaran Clark,Newcastle,Chelsea,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Wolverhampton,1.1,-0.46
Ciaran Clark,Newcastle,Wolverhampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Liverpool,0.9,-1.33
Ciaran Clark,Newcastle,Liverpool,False,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Crystal Palace,-0.56,0.81
Ciaran Clark,Newcastle,Crystal Palace,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,True,Bournemouth,2.6,1.46
Ciaran Clark,Newcastle,Bournemouth,True,0,0,0.0,0,0,0,0.0,False,0.0,Newcastle,False,Fulham,-1.62,1.37
Ciaran Clark,Newcastle,Fulham,False,0,0,0.0,0,0,0,0.0,False,,Chelsea,True,Liverpool,,-0.53
