assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,693.0,221,0.0,0.0,0.0,0.0,2022-01-23T14:00:00Z,0.0,5,0.0,0.0,0.0,0.0,23,0.0,0.0,0,0,0.0,0.0,0,0,0,45,True,0.0
0.0,0.0,0.0,0.0,0.0,693.0,236,0.0,0.0,0.0,0.0,2022-02-10T19:45:00Z,0.0,20,0.0,0.0,0.0,0.0,24,0.0,41.0,1,0,0.0,0.0,20,26,6,45,False,0.0
0.0,0.0,0.0,0.0,0.0,693.0,251,0.0,0.0,0.0,0.0,2022-02-19T15:00:00Z,0.0,3,0.0,0.0,0.0,0.0,26,0.0,84.0,1,2,0.0,0.0,16,27,11,45,True,0.0
0.0,0.0,0.0,0.0,0.0,693.0,191,0.0,0.0,0.0,0.0,2022-02-24T19:45:00Z,0.0,20,0.0,0.0,0.0,0.0,26,0.0,84.0,1,2,0.0,0.0,16,27,11,45,True,0.0
0.0,0.0,0.0,0.0,0.0,693.0,279,0.0,0.0,0.0,0.0,2022-03-06T14:00:00Z,0.0,18,0.0,0.0,0.0,0.0,28,0.0,124.0,3,2,0.0,0.0,13,25,12,45,False,0.0
0.0,0.0,0.0,0.0,0.0,693.0,281,0.0,0.0,0.0,0.0,2022-03-13T16:30:00Z,0.0,9,0.0,0.0,0.0,0.0,29,0.0,140.0,0,2,0.0,0.0,6,28,22,45,True,0.0
0.0,0.0,0.0,0.0,0.0,693.0,261,0.0,0.0,0.0,0.0,2022-03-16T20:15:00Z,0.0,11,0.0,0.0,0.0,0.0,29,0.0,140.0,2,0,0.0,0.0,6,28,22,45,True,0.0
0.0,0.0,0.0,0.0,0.0,693.0,291,0.0,0.0,0.0,0.0,2022-03-19T12:30:00Z,0.0,2,0.0,0.0,0.0,0.0,30,0.0,163.0,1,0,0.0,0.0,8,26,18,45,False,0.0
0.0,0.0,0.0,0.0,0.0,693.0,304,0.0,0.0,0.0,0.0,2022-04-04T19:00:00Z,0.0,7,0.0,0.0,0.0,0.0,31,0.0,183.0,0,3,0.0,0.0,2,26,24,45,False,0.0
0.0,0.0,0.0,0.0,0.0,693.0,311,0.0,0.0,0.0,0.0,2022-04-09T14:00:00Z,0.0,4,0.0,0.0,0.0,0.0,32,0.0,189.0,2,1,0.0,0.0,3,12,9,45,True,0.0
0.0,0.0,0.0,0.0,0.0,693.0,326,0.0,0.0,0.0,0.0,2022-04-16T14:00:00Z,0.0,16,0.0,0.0,0.0,0.0,33,0.0,196.0,0,1,0.0,0.0,4,14,10,45,False,0.0
0.0,0.0,0.0,0.0,0.0,693.0,243,0.0,0.0,0.0,0.0,2022-04-20T18:45:00Z,0.0,6,0.0,0.0,0.0,0.0,33,0.0,196.0,4,2,0.0,0.0,4,14,10,45,False,0.0
0.0,0.0,0.0,0.0,0.0,693.0,331,0.0,0.0,0.0,0.0,2022-04-23T11:30:00Z,0.0,13,0.0,0.0,0.0,0.0,34,0.0,210.0,1,3,0.0,0.0,0,11,11,45,True,0.0
0.0,0.0,0.0,0.0,0.0,693.0,349,0.0,0.0,0.0,0.0,2022-05-01T15:30:00Z,0.0,19,0.0,0.0,0.0,0.0,35,0.0,217.0,2,1,0.0,0.0,0,15,15,45,False,0.0
0.0,0.0,0.0,0.0,0.0,693.0,351,0.0,0.0,0.0,0.0,2022-05-08T13:00:00Z,0.0,10,0.0,0.0,0.0,0.0,36,0.0,234.0,1,2,0.0,0.0,5,20,15,45,True,0.0
0.0,0.0,0.0,0.0,0.0,693.0,218,0.0,0.0,0.0,0.0,2022-05-12T18:45:00Z,0.0,17,0.0,0.0,0.0,0.0,36,0.0,234.0,0,3,0.0,0.0,5,20,15,45,False,0.0
0.0,0.0,0.0,0.0,0.0,693.0,365,0.0,0.0,0.0,0.0,2022-05-16T19:00:00Z,0.0,14,0.0,0.0,0.0,0.0,37,0.0,286.0,0,2,0.0,0.0,4,20,16,45,False,0.0
0.0,0.0,0.0,0.0,0.0,693.0,371,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,0.0,8,0.0,0.0,0.0,0.0,38,0.0,372.0,1,5,0.0,0.0,62,79,17,45,True,0.0
0.0,0.0,0.0,0.0,0.0,12474.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,3093.0,,,0.0,0.0,,,,,,0.0
Games played: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
