assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,11.0,0.0,2.8,61.0,2,1.0,0.0,2.6,23.6,2021-08-14T14:00:00Z,90.0,5,0.0,0.0,0.0,0.0,1,0.0,38441.0,2,1,0.0,2.0,0,0,0,45,False,0.0
0.0,0.0,22.0,1.0,12.0,61.0,12,0.0,0.0,3.9,27.0,2021-08-21T16:30:00Z,90.0,18,0.0,0.0,0.0,0.0,2,0.0,43513.0,0,2,0.0,5.0,696,4633,3937,45,True,1.0
0.0,0.0,14.0,0.0,2.5,61.0,22,2.0,0.0,3.5,32.6,2021-08-28T14:00:00Z,90.0,8,0.0,0.0,0.0,0.0,3,0.0,47355.0,2,0,0.0,1.0,1553,6268,4715,45,True,0.0
0.0,0.0,4.0,0.0,0.5,61.0,32,0.0,0.0,0.5,4.0,2021-09-11T14:00:00Z,36.0,3,0.0,0.0,0.0,0.0,4,0.0,45588.0,1,0,0.0,1.0,-3275,6865,10140,45,False,0.0
0.0,0.0,0.0,0.0,0.0,61.0,42,0.0,0.0,0.0,0.0,2021-09-19T13:00:00Z,0.0,9,0.0,0.0,0.0,0.0,5,0.0,33428.0,1,2,0.0,0.0,-11904,320,12224,45,True,0.0
0.0,0.0,0.0,0.0,0.0,61.0,54,0.0,0.0,0.0,0.0,2021-09-27T19:00:00Z,0.0,7,0.0,0.0,0.0,0.0,6,0.0,25090.0,1,1,0.0,0.0,-8582,44,8626,44,False,0.0
0.0,0.0,0.0,0.0,0.0,61.0,61,0.0,0.0,0.0,0.0,2021-10-02T16:30:00Z,0.0,1,0.0,0.0,0.0,0.0,7,0.0,21116.0,0,0,0.0,0.0,-4149,54,4203,44,True,0.0
0.0,0.0,0.0,0.0,0.0,61.0,78,0.0,0.0,0.0,0.0,2021-10-16T14:00:00Z,0.0,15,0.0,0.0,0.0,0.0,8,0.0,19198.0,0,0,0.0,0.0,-1989,50,2039,44,False,0.0
0.0,0.0,0.0,0.0,0.0,61.0,83,0.0,0.0,0.0,0.0,2021-10-23T16:30:00Z,0.0,12,0.0,0.0,0.0,0.0,9,0.0,18057.0,4,1,0.0,0.0,-1190,20,1210,44,True,0.0
0.0,0.0,0.0,0.0,0.0,61.0,94,0.0,0.0,0.0,0.0,2021-10-30T14:00:00Z,0.0,11,0.0,0.0,0.0,0.0,10,0.0,17616.0,2,2,0.0,0.0,-582,192,774,44,False,0.0
0.0,0.0,2.0,0.0,1.6,61.0,103,0.0,0.0,0.3,1.0,2021-11-06T17:30:00Z,15.0,14,0.0,0.0,0.0,0.0,11,0.0,17313.0,1,1,0.0,1.0,-409,124,533,44,True,0.0
0.0,0.0,11.0,0.0,3.4,61.0,111,2.0,0.0,3.5,23.6,2021-11-20T15:00:00Z,90.0,2,0.0,0.0,0.0,0.0,12,0.0,16983.0,0,2,8.0,0.0,-389,118,507,44,False,1.0
0.0,0.0,20.0,1.0,7.8,61.0,123,0.0,0.0,1.5,7.2,2021-11-27T17:30:00Z,90.0,10,0.0,0.0,0.0,0.0,13,0.0,16628.0,0,0,0.0,6.0,-392,99,491,44,True,0.0
0.0,0.0,7.0,0.0,0.4,61.0,136,1.0,0.0,0.3,3.0,2021-12-01T19:30:00Z,35.0,19,0.0,0.0,0.0,0.0,14,0.0,16616.0,1,1,0.0,1.0,-63,149,212,44,False,0.0
0.0,0.0,0.0,0.0,0.0,61.0,146,0.0,0.0,0.0,0.0,2021-12-04T15:00:00Z,0.0,16,0.0,0.0,0.0,0.0,15,0.0,15538.0,1,1,0.0,0.0,-1066,65,1131,44,False,0.0
0.0,0.0,0.0,0.0,0.0,61.0,163,0.0,0.0,0.0,0.0,2021-12-15T19:30:00Z,0.0,20,0.0,0.0,0.0,0.0,17,0.0,14118.0,1,0,0.0,0.0,-506,8,514,44,True,0.0
0.0,0.0,21.0,1.0,0.4,61.0,182,0.0,0.0,3.3,32.2,2021-12-26T20:00:00Z,90.0,3,0.0,0.0,0.0,0.0,19,0.0,14303.0,0,2,0.0,5.0,35,260,225,44,True,1.0
0.0,0.0,0.0,0.0,0.0,61.0,193,0.0,0.0,0.0,0.0,2021-12-29T19:30:00Z,0.0,6,0.0,0.0,0.0,0.0,20,0.0,14263.0,1,1,0.0,0.0,101,264,163,44,False,0.0
0.0,0.0,7.0,0.0,0.7,61.0,205,2.0,0.0,1.0,9.4,2022-01-02T14:00:00Z,90.0,8,0.0,0.0,0.0,0.0,21,0.0,14140.0,3,2,0.0,0.0,21,287,266,44,False,1.0
0.0,0.0,11.0,0.0,1.9,61.0,212,1.0,0.0,2.6,16.4,2022-01-14T20:00:00Z,90.0,7,0.0,0.0,0.0,0.0,22,0.0,14950.0,1,1,8.0,2.0,299,792,493,44,True,0.0
0.0,3.0,30.0,0.0,10.8,61.0,232,1.0,1.0,9.0,58.0,2022-01-18T20:00:00Z,90.0,6,0.0,0.0,0.0,0.0,22,0.0,14950.0,1,1,21.0,11.0,299,792,493,44,True,0.0
