name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Samuel Edozie,Southampton,Newcastle United,2024-08-17,False,45.0,0.0,0.0,0.0,0.08,0.0,0.0,1.0,4.1,0.0,0.0,2424.0,0.0,0.0,45.0,1.0,Southampton,True,Nottingham Forest,,1.2
Samuel Edozie,Southampton,Nottingham Forest,2024-08-24,True,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2667.0,0.5,0.0,32.0,0.0,Southampton,False,Brentford,,-0.15
Samuel Edozie,Southampton,Brentford,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,2582.0,0.33,0.0,21.33,0.0,Southampton,True,Manchester United,,0.39
Samuel Edozie,Southampton,Manchester United,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,2212.0,0.25,0.0,16.0,0.0,Southampton,True,Ipswich Town,,
Samuel Edozie,Southampton,Ipswich Town,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,1826.0,0.2,0.0,12.8,0.0,Southampton,False,Bournemouth,,-0.04
Samuel Edozie,Southampton,Bournemouth,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,1586.0,0.2,0.0,10.67,0.0,Southampton,False,Arsenal,,-0.56
Samuel Edozie,Southampton,Arsenal,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,1459.0,0.0,0.0,9.14,0.0,Southampton,True,Leicester City,,0.47
Samuel Edozie,Southampton,Leicester City,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,1364.0,0.0,0.0,8.0,0.0,Southampton,False,Manchester City,,-1.51
Samuel Edozie,Southampton,Manchester City,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,1319.0,0.0,0.0,7.11,0.0,Southampton,True,Everton,,0.61
Samuel Edozie,Southampton,Everton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,1270.0,0.0,0.0,6.4,0.0,Southampton,False,Wolverhampton,,-0.53
Samuel Edozie,Southampton,Wolverhampton,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,1238.0,0.0,0.0,5.82,,Southampton,True,Liverpool,,0.24
,Southampton,,,,,,,,,,,,,,,,,,,,Southampton,False,Brighton,,-0.61
,Southampton,,,,,,,,,,,,,,,,,,,,Southampton,True,Chelsea,,0.0
