name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Oliver Skipp,Spurs,Brentford,2023-08-13,False,74,0.0,0.0,0.0,0.0,1,0.0,0.0,1.1,0,1,1.0,0.0,74.0,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,True,Manchester United,1.18,0.38
Oliver Skipp,Spurs,Manchester United,,True,0,,,,,0,,,0.0,0,0,0.5,0.0,37.0,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,False,Bournemouth,-1.68,0.19
Oliver Skipp,Spurs,Bournemouth,2023-08-26,False,17,0.0,0.0,0.0,0.0,1,0.0,0.0,0.5,0,0,0.67,0.0,30.33,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,False,Burnley,3.87,0.0
Oliver Skipp,Spurs,Burnley,2023-09-02,False,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,0.75,0.0,23.75,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,True,Sheffield,,0.68
Oliver Skipp,Spurs,Sheffield,,True,0,,,,,0,,,0.0,0,0,0.6,0.0,19.0,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,False,Arsenal,2.45,-0.48
Oliver Skipp,Spurs,Arsenal,,False,0,,,,,0,,,0.0,0,0,0.4,0.0,15.83,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,True,Liverpool,-0.03,0.18
Oliver Skipp,Spurs,Liverpool,2023-09-30,True,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0.6,0.0,14.57,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,False,Luton,,
Oliver Skipp,Spurs,Luton,2023-10-07,False,14,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0.6,0.0,14.5,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,True,Fulham,-1.52,-0.13
Oliver Skipp,Spurs,Fulham,2023-10-23,True,28,0.0,0.0,0.0,0.0,1,0.0,0.0,0.9,0,0,0.6,0.0,16.0,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,False,Crystal Palace,1.4,0.38
Oliver Skipp,Spurs,Crystal Palace,,False,0,,,,,0,,,0.0,0,0,0.6,0.0,14.4,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,True,Chelsea,1.57,-0.25
Oliver Skipp,Spurs,Chelsea,2023-11-06,True,29,0.0,0.0,0.0,0.07,1,0.0,1.0,1.7,0,0,0.8,0.0,15.73,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,False,Wolverhampton,0.08,-0.52
Oliver Skipp,Spurs,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0.6,0.0,14.42,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,True,Aston Villa,1.17,0.64
Oliver Skipp,Spurs,Aston Villa,2023-11-26,True,19,0.0,0.0,0.0,0.11,1,0.0,1.0,2.8,0,0,0.6,0.0,14.77,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,False,Manchester City,-0.49,-1.32
Oliver Skipp,Spurs,Manchester City,2023-12-03,False,11,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,0.6,0.0,14.5,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,True,West Ham,-1.74,0.49
Oliver Skipp,Spurs,West Ham,2023-12-07,True,23,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0,0.8,0.0,15.07,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,True,Newcastle United,-1.88,0.55
Oliver Skipp,Spurs,Newcastle United,2023-12-10,True,4,0.0,0.42,0.0,0.13,1,1.0,1.0,5.0,0,0,0.8,0.08,14.38,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,False,Nottingham Forest,-5.2,-0.55
Oliver Skipp,Spurs,Nottingham Forest,2023-12-15,False,58,0.0,0.0,0.0,0.07,1,0.0,1.0,2.3,0,0,1.0,0.08,16.94,1.0,0.0,0.21,0.54,0.03,2.0,Spurs,True,Everton,-3.67,0.53
Oliver Skipp,Spurs,Everton,2023-12-23,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.4,0,1,1.2,0.08,21.0,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,False,Brighton,-2.31,-0.6
Oliver Skipp,Spurs,Brighton,,False,0,,,,,0,,,0.0,0,0,1.0,0.08,19.89,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,True,Bournemouth,-0.25,1.22
Oliver Skipp,Spurs,Bournemouth,2023-12-31,True,58,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8,0,0,0.8,0.08,21.8,1.0,0.0,0.21,0.54,0.03,2.0,Spurs,False,Manchester United,3.47,-0.63
Oliver Skipp,Spurs,Manchester United,2024-01-14,False,84,0.0,0.02,0.0,0.16,2,1.0,3.0,4.8,0,1,1.0,0.0,24.76,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,True,Brentford,-3.15,0.79
Oliver Skipp,Spurs,Brentford,2024-01-31,True,45,0.0,0.12,0.0,0.0,1,1.0,0.0,1.8,0,1,1.0,0.03,25.68,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,False,Everton,-0.37,-0.24
Oliver Skipp,Spurs,Everton,2024-02-03,False,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0.8,0.03,24.74,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,True,Brighton,,-0.66
Oliver Skipp,Spurs,Brighton,,True,0,,,,,0,,,0.0,0,0,0.8,0.03,23.71,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,True,Wolverhampton,-0.85,0.05
Oliver Skipp,Spurs,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0.8,0.03,22.76,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,True,Crystal Palace,-3.09,0.88
Oliver Skipp,Spurs,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0.4,0.02,21.88,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,False,Aston Villa,,0.29
Oliver Skipp,Spurs,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0.2,0.0,21.07,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,False,Fulham,,0.86
Oliver Skipp,Spurs,Fulham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,20.32,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,True,Luton,,
Oliver Skipp,Spurs,Luton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,19.62,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,False,West Ham,2.68,-0.22
Oliver Skipp,Spurs,West Ham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,18.97,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,True,Nottingham Forest,,1.55
Oliver Skipp,Spurs,Nottingham Forest,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,18.35,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,False,Newcastle United,0.79,-0.41
Oliver Skipp,Spurs,Newcastle United,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,17.78,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,True,Arsenal,0.83,-0.11
Oliver Skipp,Spurs,Arsenal,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,17.24,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,False,Chelsea,-2.17,-0.85
Oliver Skipp,Spurs,Chelsea,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,16.74,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,False,Liverpool,,-1.01
Oliver Skipp,Spurs,Liverpool,2024-05-05,False,29,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0,0.2,0.0,17.09,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,True,Burnley,,0.39
Oliver Skipp,Spurs,Burnley,2024-05-11,True,74,0.0,0.0,0.0,0.0,1,0.0,0.0,1.5,0,1,0.4,0.0,18.67,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,True,Manchester City,-0.19,-0.96
Oliver Skipp,Spurs,Manchester City,2024-05-14,True,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0.6,0.0,18.3,1.0,0.0,0.21,0.54,0.03,1.0,Spurs,False,Sheffield,,-0.61
Oliver Skipp,Spurs,Sheffield,2024-05-19,False,14,0.0,0.11,0.0,0.0,1,1.0,0.0,1.0,0,0,0.8,0.02,18.18,1.0,0.0,0.21,0.54,0.03,0.0,Spurs,False,Leicester City,,-0.22
