name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Adama Traoré,Fulham,Brighton,,False,,0,,,,,0,,,0.0,0,0,0,False,0.0,0.0,0.0,0,0,0,0,0,0,Fulham,True,Manchester United,2.97,0.38
Adama Traoré,Fulham,Manchester United,,True,,0,,,,,0,,,0.0,0,0,0,False,0.0,0.0,0.0,0,0,0,0,0,1,Fulham,False,Aston Villa,1.75,0.29
Adama Traoré,Fulham,Aston Villa,2023-11-12,False,Sub,8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.9,0,0,0,False,0.0,0.0,2.67,0,0,0,0,0,0,Fulham,True,Wolverhampton,0.25,0.05
Adama Traoré,Fulham,Wolverhampton,,True,,0,,,,,0,,,0.0,0,0,0,False,0.33,0.0,2.0,0,0,0,0,0,0,Fulham,False,Liverpool,0.06,-1.01
Adama Traoré,Fulham,Liverpool,,False,,0,,,,,0,,,0.0,0,0,0,False,0.25,0.0,1.6,0,0,0,0,0,0,Fulham,True,Nottingham Forest,-2.94,1.55
Adama Traoré,Fulham,Nottingham Forest,,True,,0,,,,,0,,,0.0,0,0,0,False,0.2,0.0,1.33,0,0,0,0,0,0,Fulham,True,West Ham,3.48,0.49
Adama Traoré,Fulham,West Ham,,True,,0,,,,,0,,,0.0,0,0,0,False,0.2,0.0,1.14,0,0,0,0,0,0,Fulham,False,Newcastle United,0.12,-0.41
Adama Traoré,Fulham,Newcastle United,,False,,0,,,,,0,,,0.0,0,0,0,False,0.2,0.0,1.0,0,0,0,0,0,0,Fulham,True,Burnley,,0.39
Adama Traoré,Fulham,Burnley,,True,,0,,,,,0,,,0.0,0,0,0,False,0.0,0.0,0.89,0,0,0,0,0,0,Fulham,False,Bournemouth,3.26,0.19
Adama Traoré,Fulham,Bournemouth,,False,,0,,,,,0,,,0.0,0,0,0,False,0.0,0.0,0.8,0,0,0,0,0,1,Fulham,True,Brentford,-2.09,0.79
Adama Traoré,Fulham,Brentford,2023-08-19,True,Sub,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,1,False,0.0,0.0,1.09,0,0,0,0,0,0,Fulham,True,Arsenal,3.29,-0.11
Adama Traoré,Fulham,Arsenal,,True,,0,,,,,0,,,0.0,0,0,0,False,0.2,0.0,1.0,0,0,0,0,0,0,Fulham,False,Chelsea,-0.32,-0.85
Adama Traoré,Fulham,Chelsea,,False,,0,,,,,0,,,0.0,0,0,0,False,0.2,0.0,0.92,0,0,0,0,0,0,Fulham,True,Everton,1.34,0.53
Adama Traoré,Fulham,Everton,,True,,0,,,,,0,,,0.0,0,0,0,False,0.2,0.0,0.86,0,0,0,0,0,0,Fulham,False,Burnley,,0.0
Adama Traoré,Fulham,Burnley,,False,,0,,,,,0,,,0.0,0,0,0,False,0.2,0.0,0.8,0,0,0,0,0,1,Fulham,True,Bournemouth,1.23,1.22
Adama Traoré,Fulham,Bournemouth,2024-02-10,True,Sub,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,False,0.2,0.0,1.06,0,0,0,0,0,0,Fulham,True,Aston Villa,-3.96,0.64
Adama Traoré,Fulham,Aston Villa,2024-02-17,True,Sub,15,0.0,0.34,0.0,0.0,0,1.0,0.0,2.5,0,0,0,False,0.2,0.0,1.88,0,0,0,0,0,4,Fulham,False,Manchester United,0.59,-0.63
Adama Traoré,Fulham,Manchester United,2024-02-24,False,Sub,13,0.0,0.0,1.0,0.09,4,0.0,1.0,3.0,0,0,1,False,0.2,0.07,2.5,0,0,0,0,0,6,Fulham,True,Brighton,-0.52,-0.66
Adama Traoré,Fulham,Brighton,2024-03-02,True,Sub,6,1.0,0.31,0.0,0.0,6,1.0,0.0,5.2,0,0,0,False,1.0,0.27,2.68,0,0,0,0,0,1,Fulham,False,Wolverhampton,-0.42,-0.52
Adama Traoré,Fulham,Wolverhampton,2024-03-09,False,Sub,20,0.0,0.09,0.0,0.14,1,2.0,1.0,3.5,0,0,0,False,2.2,0.33,3.55,0,0,0,0,0,0,Fulham,True,Tottenham,1.44,0.69
Adama Traoré,Fulham,Tottenham,,True,,0,,,,,0,,,0.0,0,0,0,False,2.4,0.35,3.38,0,0,0,0,0,1,Fulham,False,Arsenal,-0.68,-0.48
Adama Traoré,Fulham,Arsenal,2023-08-26,False,Sub,19,0.0,0.43,0.0,0.0,1,1.0,0.0,2.6,0,0,1,False,2.2,0.35,4.09,0,0,0,0,0,4,Fulham,False,Sheffield,,-0.61
Adama Traoré,Fulham,Sheffield,2024-03-30,False,Sub,27,0.0,0.04,1.0,0.09,4,1.0,1.0,4.1,0,0,2,False,2.4,0.37,5.09,0,0,0,0,0,1,Fulham,False,Nottingham Forest,-0.51,-0.55
Adama Traoré,Fulham,Nottingham Forest,2024-04-02,False,Sub,57,0.0,0.07,0.0,0.05,1,1.0,1.0,3.3,0,0,1,False,2.4,0.37,7.25,0,0,0,0,0,1,Fulham,True,Newcastle United,3.93,0.55
