name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Bruno Borges Fernandes,Man Utd,Wolverhampton,2023-08-14,True,90,0.0,0.02,0.0,0.31,3,1.0,3.0,7.8,0,1,3.0,0.02,90.0,1.0,Man Utd,False,Tottenham,-1.07,-0.36
Bruno Borges Fernandes,Man Utd,Tottenham,2023-08-19,False,90,0.0,0.77,0.0,0.74,1,6.0,4.0,9.3,0,1,2.0,0.4,90.0,12.0,Man Utd,True,Nottingham Forest,-0.76,1.55
Bruno Borges Fernandes,Man Utd,Nottingham Forest,2023-08-26,True,90,1.0,1.42,1.0,1.11,12,6.0,3.0,16.3,3,1,5.33,1.07,90.0,2.0,Man Utd,False,Arsenal,0.8,-0.48
Bruno Borges Fernandes,Man Utd,Arsenal,2023-09-03,False,90,0.0,0.0,0.0,0.23,2,0.0,4.0,6.7,0,1,4.5,0.8,90.0,1.0,Man Utd,True,Brighton,-1.31,-0.66
Bruno Borges Fernandes,Man Utd,Brighton,2023-09-16,True,90,0.0,0.04,0.0,0.1,1,2.0,2.0,5.3,0,1,3.8,0.65,90.0,10.0,Man Utd,False,Burnley,-0.03,0.0
Bruno Borges Fernandes,Man Utd,Burnley,2023-09-23,False,90,1.0,0.33,0.0,0.11,10,4.0,2.0,13.6,2,1,5.2,0.71,90.0,2.0,Man Utd,True,Crystal Palace,-0.62,0.88
Bruno Borges Fernandes,Man Utd,Crystal Palace,2023-09-30,True,90,0.0,0.05,0.0,0.55,2,2.0,3.0,8.9,0,1,5.4,0.57,90.0,2.0,Man Utd,True,Brentford,-1.66,0.79
Bruno Borges Fernandes,Man Utd,Brentford,2023-10-07,True,90,0.0,0.16,0.0,0.08,2,4.0,1.0,6.5,0,1,3.4,0.12,90.0,7.0,Man Utd,False,Sheffield,,-0.61
Bruno Borges Fernandes,Man Utd,Sheffield,2023-10-21,False,90,0.0,0.08,1.0,0.56,7,2.0,5.0,11.2,2,1,4.4,0.33,90.0,1.0,Man Utd,True,Manchester City,-1.29,-0.96
Bruno Borges Fernandes,Man Utd,Manchester City,2023-10-29,True,90,0.0,0.14,0.0,0.07,1,2.0,2.0,5.4,0,1,4.4,0.35,90.0,11.0,Man Utd,False,Fulham,-3.44,0.86
Bruno Borges Fernandes,Man Utd,Fulham,2023-11-04,False,90,1.0,0.17,0.0,0.02,11,3.0,1.0,10.4,3,1,4.6,0.32,90.0,3.0,Man Utd,True,Luton,,
Bruno Borges Fernandes,Man Utd,Luton,2023-11-11,True,90,0.0,0.5,0.0,0.55,3,4.0,2.0,7.0,0,1,4.8,0.41,90.0,6.0,Man Utd,False,Everton,0.29,-0.24
Bruno Borges Fernandes,Man Utd,Everton,2023-11-26,False,90,0.0,0.0,1.0,0.72,6,0.0,3.0,7.2,0,1,5.6,0.58,90.0,2.0,Man Utd,False,Newcastle United,1.53,-0.41
Bruno Borges Fernandes,Man Utd,Newcastle United,2023-12-02,False,90,0.0,0.0,0.0,0.11,2,0.0,1.0,2.8,0,1,4.6,0.36,90.0,0.0,Man Utd,True,Chelsea,-2.84,-0.25
Bruno Borges Fernandes,Man Utd,Chelsea,2023-12-06,True,90,0.0,0.9,0.0,0.62,0,5.0,5.0,11.9,0,1,4.4,0.51,90.0,1.0,Man Utd,True,Bournemouth,-3.39,1.22
Bruno Borges Fernandes,Man Utd,Bournemouth,2023-12-09,True,90,0.0,0.04,0.0,0.2,1,1.0,6.0,11.4,0,1,2.4,0.49,90.0,0.0,Man Utd,False,Liverpool,4.73,-1.01
Bruno Borges Fernandes,Man Utd,Liverpool,,False,0,,,,,0,,,0.0,0,0,1.8,0.39,84.71,1.0,Man Utd,False,West Ham,1.21,-0.22
Bruno Borges Fernandes,Man Utd,West Ham,2023-12-23,False,90,0.0,0.06,0.0,0.07,1,2.0,2.0,4.9,0,1,0.8,0.2,85.0,1.0,Man Utd,True,Aston Villa,-0.0,0.64
Bruno Borges Fernandes,Man Utd,Aston Villa,2023-12-26,True,90,0.0,0.13,0.0,0.3,1,2.0,3.0,8.7,0,1,0.6,0.23,85.26,2.0,Man Utd,False,Nottingham Forest,-2.13,-0.55
Bruno Borges Fernandes,Man Utd,Nottingham Forest,2023-12-30,False,90,0.0,0.01,0.0,0.18,2,1.0,2.0,5.1,0,1,1.0,0.05,85.5,2.0,Man Utd,True,Tottenham,-2.65,0.69
Bruno Borges Fernandes,Man Utd,Tottenham,2024-01-14,True,90,0.0,0.09,0.0,0.02,2,2.0,1.0,4.0,0,1,1.2,0.06,85.71,5.0,Man Utd,False,Wolverhampton,-0.28,-0.52
Bruno Borges Fernandes,Man Utd,Wolverhampton,2024-02-01,False,90,0.0,0.4,1.0,0.53,5,5.0,4.0,11.0,0,1,2.2,0.34,85.91,6.0,Man Utd,True,West Ham,-1.53,0.49
Bruno Borges Fernandes,Man Utd,West Ham,2024-02-04,True,90,0.0,0.12,1.0,0.11,6,2.0,3.0,8.6,0,1,3.2,0.55,86.09,2.0,Man Utd,False,Aston Villa,1.7,0.29
Bruno Borges Fernandes,Man Utd,Aston Villa,2024-02-11,False,90,0.0,0.0,0.0,0.78,2,0.0,8.0,14.3,0,1,3.4,0.52,86.25,2.0,Man Utd,False,Luton,,
Bruno Borges Fernandes,Man Utd,Luton,2024-02-18,False,90,0.0,0.82,0.0,0.12,2,5.0,2.0,7.7,0,1,3.4,0.68,86.4,4.0,Man Utd,True,Fulham,,-0.13
Bruno Borges Fernandes,Man Utd,Fulham,2024-02-24,True,90,0.0,0.11,0.0,0.04,4,5.0,2.0,10.0,0,1,3.8,0.69,86.54,5.0,Man Utd,False,Manchester City,-0.11,-1.32
Bruno Borges Fernandes,Man Utd,Manchester City,2024-03-03,False,90,0.0,0.0,1.0,0.15,5,0.0,2.0,7.4,0,1,3.8,0.61,86.67,11.0,Man Utd,True,Everton,1.78,0.53
Bruno Borges Fernandes,Man Utd,Everton,2024-03-09,True,90,1.0,1.1,0.0,0.79,11,5.0,5.0,17.5,3,1,4.8,0.61,86.79,2.0,Man Utd,False,Brentford,5.05,-0.53
Bruno Borges Fernandes,Man Utd,Brentford,2024-03-30,False,90,0.0,0.05,0.0,0.49,2,3.0,4.0,11.3,0,1,4.8,0.62,86.9,8.0,Man Utd,False,Chelsea,0.38,-0.85
Bruno Borges Fernandes,Man Utd,Chelsea,2024-04-04,False,90,1.0,0.52,0.0,0.12,8,5.0,3.0,13.6,1,1,6.0,0.56,87.0,9.0,Man Utd,True,Liverpool,0.14,0.18
Bruno Borges Fernandes,Man Utd,Liverpool,2024-04-07,True,90,1.0,0.3,0.0,0.02,9,2.0,1.0,10.4,2,1,7.0,0.59,87.1,15.0,Man Utd,False,Bournemouth,,0.19
Bruno Borges Fernandes,Man Utd,Bournemouth,2024-04-13,False,90,2.0,1.3,0.0,0.0,15,3.0,0.0,13.0,3,1,9.0,0.65,87.19,18.0,Man Utd,True,Sheffield,,0.68
Bruno Borges Fernandes,Man Utd,Sheffield,2024-04-24,True,90,2.0,0.84,1.0,1.44,18,5.0,9.0,28.5,3,1,10.4,0.8,87.27,4.0,Man Utd,True,Burnley,-3.36,0.39
Bruno Borges Fernandes,Man Utd,Burnley,2024-04-27,True,90,0.0,0.19,0.0,1.28,4,3.0,9.0,18.1,2,1,10.8,0.83,87.35,0.0,Man Utd,False,Crystal Palace,-0.01,0.38
Bruno Borges Fernandes,Man Utd,Crystal Palace,,False,0,,,,,0,,,0.0,0,0,9.2,0.73,84.86,0.0,Man Utd,True,Arsenal,-3.39,-0.11
Bruno Borges Fernandes,Man Utd,Arsenal,,True,0,,,,,0,,,0.0,0,0,7.4,0.67,82.5,5.0,Man Utd,True,Newcastle United,-1.49,0.55
Bruno Borges Fernandes,Man Utd,Newcastle United,2024-05-15,True,89,0.0,0.05,1.0,0.51,5,2.0,5.0,12.6,0,1,5.4,0.62,82.68,0.0,Man Utd,False,Brighton,,-0.6
Bruno Borges Fernandes,Man Utd,Brighton,2024-05-19,False,59,0.0,0.01,0.0,0.1,0,1.0,1.0,2.9,0,1,1.8,0.25,82.05,3.0,Man Utd,True,Fulham,,-0.13
