name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus
Tommi O'Reilly,Aston Villa,Brighton,,False,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Southampton,,True,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Leicester City,,False,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,West Ham,,False,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Arsenal,,True,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Wolverhampton,,False,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Tottenham,,True,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Leeds United,,False,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Norwich,,True,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Burnley,,False,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Liverpool,,True,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Crystal Palace,,True,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Burnley,,True,0,,,,,0,,,0.0,0
Tommi O'Reilly,Aston Villa,Manchester City,,False,0,,,,,0,,,0.0,0
