name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,starts,total_points,was_home
Vladimir Coufal,DEF,West Ham,0,0,0.0,1,1.6,2022-08-14,90,Nottingham Forest,0,111299,0,2,False
Vladimir Coufal,DEF,West Ham,0,0,0.0,2,2.4,2022-08-21,74,Brighton,0,106619,0,1,True
Vladimir Coufal,DEF,West Ham,0,0,0.0,2,2.6,2022-08-07,90,Manchester City,0,88668,0,1,True
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2022-10-19,0,Liverpool,0,93838,0,0,False
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2022-10-09,0,Fulham,0,126943,0,0,True
Vladimir Coufal,DEF,West Ham,0,0,0.0,1,6.4,2022-10-16,90,Southampton,0,109608,0,1,False
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2022-10-30,0,Manchester United,0,84262,0,0,False
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.1,2022-10-24,2,Bournemouth,0,91379,0,4,True
Vladimir Coufal,DEF,West Ham,0,0,2.1036,3,2.0,2022-12-26,90,Arsenal,0,74564,1,0,False
Vladimir Coufal,DEF,West Ham,0,0,1.6274,2,6.6,2022-12-30,90,Brentford,0,78386,1,0,True
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2022-11-06,0,Crystal Palace,0,79915,0,0,True
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2022-11-12,0,Leeds United,0,76112,0,0,True
Vladimir Coufal,DEF,West Ham,0,1,0.6745,0,2.0,2023-01-21,90,Everton,0,71036,1,6,True
Vladimir Coufal,DEF,West Ham,0,0,1.48,2,1.3,2023-02-19,90,Tottenham,0,78015,1,1,False
Vladimir Coufal,DEF,West Ham,0,0,0.1,0,3.5,2023-02-25,45,Nottingham Forest,0,93322,1,1,True
Vladimir Coufal,DEF,West Ham,0,1,0.68,0,3.1,2023-04-08,90,Fulham,0,63465,1,6,False
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2023-03-04,0,Brighton,0,75728,0,0,False
Vladimir Coufal,DEF,West Ham,0,0,0.8037,1,2.3,2023-01-04,67,Leicester City,0,76203,1,2,False
Vladimir Coufal,DEF,West Ham,0,0,1.15,1,2.1,2023-02-11,90,Chelsea,0,78761,1,1,True
Vladimir Coufal,DEF,West Ham,0,0,0.82,1,4.2,2023-02-04,90,Newcastle United,0,76647,1,2,False
Vladimir Coufal,DEF,West Ham,0,0,0.8366,1,5.4,2023-01-14,90,Wolverhampton,0,69242,1,2,False
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2023-03-12,0,Aston Villa,0,67217,0,0,True
Vladimir Coufal,DEF,West Ham,0,0,0.0,1,1.8,2022-09-18,90,Everton,0,133493,0,2,False
Vladimir Coufal,DEF,West Ham,2,1,1.06,0,4.8,2023-04-23,82,Bournemouth,0,84796,1,11,False
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2023-04-02,0,Southampton,0,64398,0,0,True
Vladimir Coufal,DEF,West Ham,0,0,0.65,2,0.6,2023-04-05,27,Newcastle United,0,64398,0,0,True
Vladimir Coufal,DEF,West Ham,0,1,0.0,0,1.0,2022-08-28,67,Aston Villa,0,78549,0,6,False
Vladimir Coufal,DEF,West Ham,0,0,0.0,1,4.9,2022-08-31,90,Tottenham,0,70869,0,2,True
Vladimir Coufal,DEF,West Ham,0,0,0.0,2,1.3,2022-09-03,90,Chelsea,0,68997,0,1,False
Vladimir Coufal,DEF,West Ham,0,0,2.82,2,5.4,2023-04-16,90,Arsenal,0,68492,1,1,True
Vladimir Coufal,DEF,West Ham,0,0,2.0,2,0.6,2023-04-26,90,Liverpool,0,106367,1,1,True
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2022-10-01,0,Wolverhampton,0,143783,0,0,True
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2023-05-07,0,Manchester United,0,137507,0,0,True
Vladimir Coufal,DEF,West Ham,0,0,1.44,2,0.0,2023-05-28,90,Leeds United,0,117837,1,1,False
Vladimir Coufal,DEF,West Ham,0,0,0.0,0,0.0,2023-05-14,0,Brentford,0,117361,0,0,False
Vladimir Coufal,DEF,West Ham,0,0,2.13,4,2.7,2023-04-29,90,Crystal Palace,0,180923,1,-1,False
Vladimir Coufal,DEF,West Ham,0,0,1.42,1,2.5,2023-05-03,61,Manchester City,0,180923,1,2,False
Vladimir Coufal,DEF,West Ham,0,0,0.9,1,3.7,2023-05-21,90,Leicester City,0,115133,1,2,True
