name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Lewis Cook,MID,Bournemouth,0,0,2,6.2,2022-10-15,90,Fulham,9098,0,2,False
Lewis Cook,MID,Bournemouth,0,0,3,0.4,2022-08-13,63,Manchester City,5294,0,2,False
Lewis Cook,MID,Bournemouth,0,0,1,4.5,2022-10-08,90,Leeds United,9192,0,2,True
Lewis Cook,MID,Bournemouth,0,0,1,9.0,2022-10-19,90,Southampton,8994,0,2,True
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-03-18,0,Aston Villa,6316,0,0,False
Lewis Cook,MID,Bournemouth,0,0,3,5.0,2022-10-29,90,Tottenham,8377,0,1,True
Lewis Cook,MID,Bournemouth,0,0,1,1.2,2022-08-20,45,Arsenal,5332,0,1,True
Lewis Cook,MID,Bournemouth,0,0,0,0.8,2022-08-06,18,Aston Villa,4802,0,1,True
Lewis Cook,MID,Bournemouth,0,1,0,8.2,2022-11-12,90,Everton,7795,1,5,True
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-01-21,0,Nottingham Forest,7123,0,0,True
Lewis Cook,MID,Bournemouth,0,0,2,1.1,2022-12-31,79,Crystal Palace,8037,1,2,True
Lewis Cook,MID,Bournemouth,0,0,4,2.9,2022-11-05,90,Leicester City,7960,0,2,False
Lewis Cook,MID,Bournemouth,0,0,2,2.9,2022-12-27,90,Chelsea,8073,1,2,False
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-02-25,0,Manchester City,6188,0,0,True
Lewis Cook,MID,Bournemouth,0,0,3,6.3,2023-01-03,90,Manchester United,7780,1,2,False
Lewis Cook,MID,Bournemouth,0,0,2,2.0,2022-10-24,90,West Ham,8697,0,2,False
Lewis Cook,MID,Bournemouth,0,0,1,0.5,2023-03-04,20,Arsenal,6149,0,1,False
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-02-18,0,Wolverhampton,6395,0,0,False
Lewis Cook,MID,Bournemouth,0,0,0,3.0,2023-04-08,31,Leeds United,6154,0,1,False
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-02-11,0,Newcastle United,6463,0,0,True
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-02-04,0,Brighton,6645,0,0,False
Lewis Cook,MID,Bournemouth,0,0,0,0.2,2023-03-11,9,Liverpool,6241,0,1,True
Lewis Cook,MID,Bournemouth,0,0,0,0.8,2023-01-14,34,Brentford,7621,1,1,False
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-04-01,0,Fulham,6199,0,0,True
Lewis Cook,MID,Bournemouth,0,0,1,0.0,2023-04-04,5,Brighton,6199,0,0,True
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-04-15,0,Tottenham,6162,0,0,False
Lewis Cook,MID,Bournemouth,0,0,0,0.4,2023-04-23,15,West Ham,6199,0,1,True
Lewis Cook,MID,Bournemouth,0,0,2,1.1,2023-05-06,31,Chelsea,6215,0,1,True
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-04-27,0,Southampton,6183,0,0,False
Lewis Cook,MID,Bournemouth,0,0,1,2.5,2022-09-17,90,Newcastle United,7848,0,2,False
Lewis Cook,MID,Bournemouth,0,0,7,0.7,2022-08-27,76,Liverpool,5132,0,2,False
Lewis Cook,MID,Bournemouth,0,0,0,1.9,2023-04-30,17,Leicester City,6173,0,1,True
Lewis Cook,MID,Bournemouth,0,1,0,0.9,2022-08-31,90,Wolverhampton,5329,0,3,True
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-05-13,9,Crystal Palace,6213,0,1,False
Lewis Cook,MID,Bournemouth,1,0,2,6.9,2022-09-03,90,Nottingham Forest,5639,0,6,False
Lewis Cook,MID,Bournemouth,0,0,0,0.0,2023-05-28,0,Everton,6289,0,0,False
Lewis Cook,MID,Bournemouth,0,1,0,0.7,2022-10-01,90,Brentford,8649,0,3,True
Lewis Cook,MID,Bournemouth,0,0,1,1.1,2023-05-20,90,Manchester United,6232,1,1,True
