Opponent,Home Difficulty,Away Difficulty
Arsenal,-3.3863318411349344,0.7966296413168873
Aston Villa,-0.00048326814052468414,0.5702716552109895
Bournemouth,-3.88797766706625,-1.784861929341925
Brentford,-1.6561076682861695,1.1801694452129299
Brighton,-1.3128183965363969,2.4739841310134203
Burnley,-3.8630600249657077,-0.5328106157209092
Chelsea,-2.84040230952711,0.38279643196804447
Crystal Palace,-0.6230237222707188,0.5749038247249987
Everton,-0.7271068449728092,0.29139977754418744
Fulham,-1.4829690871927577,-3.9350005715314813
Ipswich Town,,
Leeds United,-2.3402800188129813,0.5650445344023634
Leicester City,-2.869031013696704,-2.100527783190971
Liverpool,0.13852892439662745,4.730326579265863
Luton,,
Manchester City,-1.291892920754734,1.5197143806332036
Newcastle United,-1.4946781482334124,1.532574559660641
Norwich,-0.843091002679287,-1.823821434344837
Nottingham Forest,-1.259911232989542,-2.6267192058312276
Sheffield,,
Southampton,-0.8786108830159245,-0.9850095197493853
Tottenham,-2.654791540047291,-1.0682250896561356
Watford,-1.114746780273896,2.8634510222076655
West Ham,-1.52845092088398,1.2148044917473355
Wolverhampton,-1.33198980697148,-0.2809822788463332
