name,position,team,xP,assists,bonus,clean_sheets,expected_assists,expected_goals,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
Maxwel Cornet,MID,West Ham,2.1,0,0,0,0.0,0.0,3,0,0,0.2,1,Bournemouth,0,0,0,1,False,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,99,0,0,0.0,0,Everton,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,101,0,0,0.0,0,Brentford,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,119,0,0,0.0,0,Nottingham Forest,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.5,0,0,0,0.0,0.0,122,0,0,0.0,0,Burnley,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,140,0,0,0.0,0,Crystal Palace,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,148,0,0,0.0,0,Tottenham,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,155,0,0,0.0,0,Fulham,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,170,0,0,0.0,0,Wolverhampton,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,-0.4,0,0,0,0.0,0.0,179,0,0,0.0,0,Manchester United,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,-0.4,0,0,0,0.0,0.0,181,0,0,0.0,0,Arsenal,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.5,0,0,0,0.0,0.0,19,0,0,0.0,0,Chelsea,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,199,0,0,0.0,0,Brighton,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,2.8,0,0,0,0.01,0.29,210,1,1,8.2,69,Sheffield,0,0,1,7,False,0
Maxwel Cornet,MID,West Ham,4.0,0,0,0,0.0,0.0,217,0,0,0.0,1,Bournemouth,0,0,0,1,True,0
Maxwel Cornet,MID,West Ham,3.0,0,0,0,0.01,0.03,228,1,0,4.1,18,Manchester United,0,0,0,1,False,0
Maxwel Cornet,MID,West Ham,1.7,0,0,0,0.0,0.0,239,0,0,0.0,0,Arsenal,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.8,0,0,0,0.0,0.08,248,1,0,1.8,14,Nottingham Forest,0,0,0,1,False,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,259,0,0,0.0,0,Brentford,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,263,0,0,0.0,0,Everton,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,279,0,0,0.0,0,Burnley,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,289,0,0,0.0,0,Aston Villa,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.3,0,0,0,0.0,0.0,24,0,0,0.0,0,Brighton,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,297,0,0,0.0,0,Newcastle United,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,-0.5,0,0,0,0.0,0.0,306,0,0,0.0,0,Tottenham,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,320,0,0,0.0,0,Wolverhampton,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.2,0,0,0,0.0,0.0,330,0,0,0.2,1,Fulham,0,0,0,1,True,0
Maxwel Cornet,MID,West Ham,0.4,0,0,0,0.0,0.0,333,0,0,0.1,5,Crystal Palace,0,0,0,1,False,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,349,0,0,0.0,0,Liverpool,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.5,0,0,0,0.0,0.0,355,0,0,0.0,0,Chelsea,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.7,0,0,0,0.0,0.0,369,0,0,0.0,0,Luton,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,-1.0,0,0,0,0.0,0.0,379,0,0,0.0,0,Manchester City,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.7,0,0,0,0.0,0.0,38,0,0,0.0,0,Luton,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,-1.0,0,0,0,0.0,0.0,49,0,0,0.0,0,Manchester City,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,-0.5,0,0,0,0.0,0.0,57,0,0,0.0,0,Liverpool,0,0,0,0,False,0
Maxwel Cornet,MID,West Ham,0.5,0,0,0,0.0,0.0,69,0,0,0.0,0,Sheffield,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,-0.5,0,0,0,0.0,0.0,79,0,0,0.0,0,Newcastle United,0,0,0,0,True,0
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0.0,0.0,81,0,0,0.0,0,Aston Villa,0,0,0,0,False,0
