name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,last_season_clean_sheet_probability,last_season_total_saves,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Matz Sels,Nott'm Forest,Bournemouth,2024-02-04,False,90,1,0.96,0,0,2,0,0,0.0,1,0.0,2.0,0,90.0,0.0,0.0,0,0,0,1.0,Nott'm Forest,True,Newcastle United,,0.55
Matz Sels,Nott'm Forest,Newcastle United,2024-02-10,True,90,3,0.48,2,0,1,0,0,0.0,1,0.01,1.5,0,90.0,0.0,1.0,0,0,0,8.0,Nott'm Forest,True,West Ham,,0.49
Matz Sels,Nott'm Forest,West Ham,2024-02-17,True,90,0,0.56,3,0,8,1,1,0.0,1,0.01,3.67,0,90.0,0.33,1.67,0,0,0,0.0,Nott'm Forest,False,Aston Villa,,0.29
Matz Sels,Nott'm Forest,Aston Villa,2024-02-24,False,90,4,3.57,2,0,0,0,0,0.0,1,0.04,2.75,0,90.0,0.25,1.75,0,0,0,2.0,Nott'm Forest,True,Liverpool,,0.18
Matz Sels,Nott'm Forest,Liverpool,2024-03-02,True,90,1,2.07,1,0,2,0,0,0.0,1,0.04,2.6,0,90.0,0.2,1.6,0,0,0,3.0,Nott'm Forest,False,Brighton,,-0.6
Matz Sels,Nott'm Forest,Brighton,2024-03-10,False,90,1,0.46,3,0,3,0,0,0.0,1,0.04,2.8,0,90.0,0.17,1.83,0,0,0,2.0,Nott'm Forest,False,Luton,,
Matz Sels,Nott'm Forest,Luton,2024-03-16,False,90,1,0.6,3,0,2,0,0,0.0,1,1.16,3.0,0,90.0,0.14,2.0,0,0,0,2.0,Nott'm Forest,True,Crystal Palace,,0.88
Matz Sels,Nott'm Forest,Crystal Palace,2024-03-30,True,90,1,1.19,2,0,2,0,0,0.0,1,0.13,1.8,0,90.0,0.12,2.0,0,0,0,2.0,Nott'm Forest,True,Fulham,,-0.13
Matz Sels,Nott'm Forest,Fulham,2024-04-02,True,90,1,1.48,2,0,2,0,0,0.0,1,0.13,2.2,0,90.0,0.11,2.0,0,0,0,2.0,Nott'm Forest,False,Tottenham,,-0.36
Matz Sels,Nott'm Forest,Tottenham,2024-04-07,False,90,3,1.48,5,0,2,0,0,0.0,1,0.11,2.2,0,90.0,0.1,2.3,0,0,0,1.0,Nott'm Forest,True,Wolverhampton,,0.05
Matz Sels,Nott'm Forest,Wolverhampton,2024-04-13,True,90,2,1.07,1,0,1,0,0,0.0,1,0.12,1.8,0,90.0,0.09,2.18,0,0,0,1.0,Nott'm Forest,False,Everton,,-0.24
Matz Sels,Nott'm Forest,Everton,2024-04-21,False,90,2,0.45,2,0,1,0,0,0.0,1,0.12,1.6,0,90.0,0.08,2.17,0,0,0,2.0,Nott'm Forest,True,Manchester City,,-0.96
Matz Sels,Nott'm Forest,Manchester City,2024-04-28,True,90,2,0.84,3,0,2,0,0,0.0,1,0.11,1.6,0,90.0,0.08,2.23,0,0,0,3.0,Nott'm Forest,False,Sheffield,,-0.61
Matz Sels,Nott'm Forest,Sheffield,2024-05-04,False,90,1,2.27,4,0,3,0,0,0.0,1,0.16,1.8,0,90.0,0.07,2.36,0,0,0,1.0,Nott'm Forest,True,Chelsea,,-0.25
Matz Sels,Nott'm Forest,Chelsea,2024-05-11,True,90,3,1.81,2,0,1,0,0,0.0,1,0.13,1.6,0,90.0,0.07,2.33,0,0,0,2.0,Nott'm Forest,False,Burnley,,0.0
Matz Sels,Nott'm Forest,Burnley,2024-05-19,False,90,1,1.21,2,0,2,0,0,0.07,1,0.2,1.8,0,90.0,0.06,2.31,0,0,0,3.0,Nott'm Forest,True,Bournemouth,,1.22
