name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Gavin Bazunu,Southampton,Newcastle United,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,True,Nottingham Forest,3.03,1.2
Gavin Bazunu,Southampton,Nottingham Forest,2024-08-24,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,False,Brentford,4.79,-0.15
Gavin Bazunu,Southampton,Brentford,2024-08-31,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,True,Manchester United,1.12,0.39
Gavin Bazunu,Southampton,Manchester United,2024-09-14,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,True,Ipswich Town,,
Gavin Bazunu,Southampton,Ipswich Town,2024-09-21,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,False,Bournemouth,-0.76,-0.04
Gavin Bazunu,Southampton,Bournemouth,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,False,Arsenal,0.71,-0.56
Gavin Bazunu,Southampton,Arsenal,2024-10-05,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,True,Leicester City,-1.16,0.47
Gavin Bazunu,Southampton,Leicester City,2024-10-19,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,False,Manchester City,3.44,-1.51
Gavin Bazunu,Southampton,Manchester City,2024-10-26,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Southampton,True,Everton,0.11,0.61
,Southampton,,,,,,,,,,,,,,,,,,,,Southampton,False,Wolverhampton,2.86,-0.53
,Southampton,,,,,,,,,,,,,,,,,,,,Southampton,True,Liverpool,-0.47,0.24
