name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Gustavo Nunes Fernandes Gomes,Brentford,Southampton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,False,Manchester City,,-1.51
Gustavo Nunes Fernandes Gomes,Brentford,Manchester City,2024-09-14,False,0.0,0.0,0.27,1.0,0.37,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,Brentford,False,Tottenham,,-0.3
Gustavo Nunes Fernandes Gomes,Brentford,Tottenham,2024-09-21,False,0.0,0.0,0.46,0.0,0.06,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,Brentford,True,West Ham,,0.48
Gustavo Nunes Fernandes Gomes,Brentford,West Ham,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.43,0.0,0.0,Brentford,True,Wolverhampton,,-0.08
Gustavo Nunes Fernandes Gomes,Brentford,Wolverhampton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.35,0.0,0.0,Brentford,False,Manchester United,,-0.41
Gustavo Nunes Fernandes Gomes,Brentford,Manchester United,2024-10-19,False,0.0,0.0,0.24,1.0,0.35,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,Brentford,True,Ipswich Town,,
Gustavo Nunes Fernandes Gomes,Brentford,Ipswich Town,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.34,0.0,0.0,Brentford,False,Fulham,,0.53
Gustavo Nunes Fernandes Gomes,Brentford,Fulham,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.25,0.0,0.0,Brentford,True,Bournemouth,,0.84
Gustavo Nunes Fernandes Gomes,Brentford,Bournemouth,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.25,0.0,,Brentford,False,Everton,,-0.39
,Brentford,,,,,,,,,,,,,,,,,,,Brentford,True,Leicester City,,0.47
,Brentford,,,,,,,,,,,,,,,,,,,Brentford,False,Aston Villa,,0.11
