name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Boubacar Traoré,Wolves,Arsenal,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,0.0,Wolves,True,Chelsea,,0.0
Boubacar Traoré,Wolves,Chelsea,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,0.0,Wolves,False,Nottingham Forest,,-0.54
Boubacar Traoré,Wolves,Nottingham Forest,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,0.0,Wolves,True,Newcastle United,,0.67
Boubacar Traoré,Wolves,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,0.0,Wolves,False,Aston Villa,,0.11
Boubacar Traoré,Wolves,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,0.0,Wolves,True,Liverpool,,0.24
Boubacar Traoré,Wolves,Liverpool,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,0.0,Wolves,False,Brentford,,-0.15
Boubacar Traoré,Wolves,Brentford,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,0.0,Wolves,True,Manchester City,,-1.18
Boubacar Traoré,Wolves,Manchester City,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,0.0,Wolves,False,Brighton,,-0.61
Boubacar Traoré,Wolves,Brighton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,0.0,Wolves,True,Crystal Palace,,0.88
Boubacar Traoré,Wolves,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,0.0,Wolves,True,Southampton,,0.24
Boubacar Traoré,Wolves,Southampton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,0.03,,,,,,
