assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,29.0,1.0,1.4,238.0,5,0.0,0.0,2.3,15.6,2020-09-13T13:00:00Z,90.0,18,0.0,0.0,0.0,0.0,1,0.0,771267.0,3,0,6.0,6.0,0,0,0,55,False,0.0
0.0,0.0,17.0,0.0,20.9,238.0,14,2.0,0.0,8.9,32.4,2020-09-20T18:00:00Z,90.0,4,0.0,0.0,0.0,0.0,2,0.0,861165.0,2,4,36.0,1.0,-16165,41879,58044,55,True,0.0
0.0,0.0,4.0,0.0,0.5,238.0,24,2.0,0.0,1.8,15.0,2020-09-27T15:30:00Z,90.0,12,0.0,0.0,0.0,0.0,3,0.0,787846.0,5,2,2.0,0.0,-95807,30897,126704,55,False,1.0
0.0,0.0,14.0,0.0,1.8,238.0,34,3.0,0.0,2.2,20.4,2020-10-04T11:00:00Z,90.0,19,0.0,0.0,0.0,0.0,4,0.0,746576.0,3,0,0.0,1.0,-64334,19529,83863,55,True,0.0
0.0,0.0,0.0,0.0,0.0,238.0,43,0.0,0.0,0.0,0.0,2020-10-18T18:15:00Z,0.0,2,0.0,0.0,0.0,0.0,5,0.0,595195.0,1,0,0.0,0.0,-153786,8685,162471,55,True,0.0
0.0,0.0,0.0,0.0,0.0,238.0,49,0.0,0.0,0.0,0.0,2020-10-25T19:15:00Z,0.0,1,0.0,0.0,0.0,0.0,6,0.0,408583.0,1,0,0.0,0.0,-190759,254,191013,54,False,0.0
0.0,0.0,0.0,0.0,0.0,238.0,62,0.0,0.0,0.0,0.0,2020-11-02T20:00:00Z,0.0,10,0.0,0.0,0.0,0.0,7,0.0,325591.0,4,1,0.0,0.0,-91782,123,91905,54,False,0.0
0.0,0.0,0.0,0.0,0.0,238.0,74,0.0,0.0,0.0,0.0,2020-11-08T14:00:00Z,0.0,20,0.0,0.0,0.0,0.0,8,0.0,280914.0,0,1,0.0,0.0,-46336,77,46413,53,True,0.0
0.0,0.0,0.0,0.0,0.0,238.0,83,0.0,0.0,0.0,0.0,2020-11-22T19:15:00Z,0.0,11,0.0,0.0,0.0,0.0,9,0.0,250572.0,0,3,0.0,0.0,-30496,118,30614,53,False,0.0
0.0,0.0,0.0,0.0,0.0,238.0,94,0.0,0.0,0.0,0.0,2020-11-30T17:30:00Z,0.0,8,0.0,0.0,0.0,0.0,10,0.0,239597.0,2,1,0.0,0.0,-12347,73,12420,53,True,0.0
