name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty,clean_sheets_3g_avg,clean_sheets_5g_avg,clean_sheets_ema,clean_sheets_momentum_3g,clean_sheets_momentum_5g,form_3g_avg,form_5g_avg,form_ema,form_momentum_3g,form_momentum_5g,xA_3g_avg,xA_5g_avg,xA_ema,xA_momentum_3g,xA_momentum_5g,xG_3g_avg,xG_5g_avg,xG_ema,xG_momentum_3g,xG_momentum_5g,expected_goals_conceded_3g_avg,expected_goals_conceded_5g_avg,expected_goals_conceded_ema,expected_goals_conceded_momentum_3g,expected_goals_conceded_momentum_5g,ict_index_3g_avg,ict_index_5g_avg,ict_index_ema,ict_index_momentum_3g,ict_index_momentum_5g,bonus_3g_avg,bonus_5g_avg,bonus_ema,bonus_momentum_3g,bonus_momentum_5g,next_week_specific_fixture_difficulty_3g_avg,next_week_specific_fixture_difficulty_5g_avg,next_week_specific_fixture_difficulty_ema,next_week_specific_fixture_difficulty_momentum_3g,next_week_specific_fixture_difficulty_momentum_5g,next_week_holistic_fixture_difficulty_3g_avg,next_week_holistic_fixture_difficulty_5g_avg,next_week_holistic_fixture_difficulty_ema,next_week_holistic_fixture_difficulty_momentum_3g,next_week_holistic_fixture_difficulty_momentum_5g,clean_sheets_expected_goals_conceded_3g,clean_sheets_expected_goals_conceded_5g,form_difficulty_3g,clean_sheets_form_interaction,clean_sheets_per_90,xA_per_90,xG_per_90,ict_index_per_90
Victor Lindelöf,Man Utd,Fulham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,17901,0.0,0.0,0.0,0.0,0.43,0.29,0.38,25.99,0.0,Man Utd,False,Brighton,,-0.61,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.61,-0.61,-0.61,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Victor Lindelöf,Man Utd,Brighton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,15721,0.0,0.0,0.0,0.0,0.43,0.29,0.38,25.99,0.0,Man Utd,True,Liverpool,,0.24,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.185,-0.185,-0.32666666666666666,0.425,0.425,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Victor Lindelöf,Man Utd,Liverpool,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,11244,0.0,0.0,0.0,0.0,0.43,0.29,0.38,25.99,0.0,Man Utd,False,Southampton,,-0.31,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.22666666666666666,-0.22666666666666666,-0.3211111111111111,-0.08333333333333334,-0.08333333333333334,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Victor Lindelöf,Man Utd,Southampton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,9220,0.0,0.0,0.0,0.0,0.43,0.29,0.38,25.99,0.0,Man Utd,False,Crystal Palace,,0.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.043333333333333335,-0.12,-0.14740740740740743,0.15666666666666668,0.32,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Victor Lindelöf,Man Utd,Crystal Palace,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,8471,0.0,0.0,0.0,0.0,0.43,0.29,0.38,25.99,0.0,Man Utd,True,Tottenham,,0.74,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.21,0.052000000000000005,0.148395061728395,0.53,0.688,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Victor Lindelöf,Man Utd,Tottenham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,7876,0.0,0.0,0.0,0.0,0.43,0.29,0.38,25.99,0.0,Man Utd,False,Aston Villa,,0.11,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35000000000000003,0.196,0.13559670781893002,-0.24000000000000005,-0.08600000000000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Victor Lindelöf,Man Utd,Aston Villa,2024-10-06,False,45,0.0,0.0,0.0,0.0,0,0.0,0.0,1.5,0,0,0,0.26,0,8037,0.0,0.0,6.43,0.0,0.43,0.29,0.38,25.99,1.0,Man Utd,True,Brentford,,0.54,45.0,45.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08666666666666667,0.052000000000000005,0.08666666666666667,0.17333333333333334,0.20800000000000002,0.5,0.3,0.5,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.4633333333333334,0.256,0.27039780521262,0.07666666666666666,0.28400000000000003,0.0,0.0,,0.0,0.0,0.0,0.0,3.0
Victor Lindelöf,Man Utd,Brentford,2024-10-19,True,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0.13,0,8579,0.2,0.0,5.75,0.0,0.43,0.29,0.38,25.99,1.0,Man Utd,False,West Ham,,-0.34,46.0,46.0,,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.04,0.06666666666666667,0.13333333333333336,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.078,0.10111111111111112,0.0,0.052000000000000005,0.5,0.3,0.33333333333333337,-0.5,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.10333333333333333,0.25,0.0669318701417467,-0.44333333333333336,-0.5900000000000001,0.0,0.0,,0.0,0.0,0.0,0.0,2.9347826086956523
Victor Lindelöf,Man Utd,West Ham,2024-10-27,False,6,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0,1,0.97,0,8765,0.4,0.0,5.78,0.0,0.43,0.29,0.38,25.99,1.0,Man Utd,True,Chelsea,,0.0,52.0,52.0,,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.12000000000000002,0.17777777777777778,0.19999999999999998,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4533333333333333,0.27199999999999996,0.3907407407407407,0.5166666666666666,0.698,0.7333333333333334,0.44000000000000006,0.4555555555555556,-0.03333333333333344,0.2599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.06666666666666667,0.20999999999999996,0.044621246761164475,-0.06666666666666667,-0.20999999999999996,0.0,0.0,,0.0,0.0,0.0,0.0,3.8076923076923084
Victor Lindelöf,Man Utd,Chelsea,2024-11-03,True,6,0.0,0.0,0.0,0.05,1,0.0,1.0,1.4,0,0,0,0.02,0,9002,0.6,0.0,5.8,0.0,0.43,0.29,0.38,25.99,0.0,Man Utd,True,Leicester City,,0.47,13.0,58.0,,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.24,0.31851851851851853,0.2,0.36,0.016666666666666666,0.01,0.016666666666666666,0.03333333333333334,0.04,0.0,0.0,0.0,0.0,0.0,0.3733333333333333,0.27599999999999997,0.2671604938271605,-0.3533333333333333,-0.25599999999999995,0.6999999999999998,0.72,0.7703703703703704,0.7000000000000001,0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.043333333333333314,0.156,0.18641416450744297,0.42666666666666664,0.31399999999999995,0.0,0.0,,0.0,0.0,0.07758620689655173,0.0,5.586206896551723
