Opponent,Home Difficulty,Away Difficulty
Arsenal,,2.4919342797951503
Bournemouth,,4.3761610669083115
Brentford,-3.3448358410558017,0.37727884434046066
Brighton,-3.7165106714225287,-2.0801812672927014
Burnley,,
Chelsea,2.303439750862318,4.064036297258439
Crystal Palace,,1.06782163969039
Everton,-1.6301989762889881,
Fulham,,4.617696959030394
Leeds United,-3.6175878890169977,
Leicester City,-0.2776962408163371,0.15828416858350414
Liverpool,2.816422828685195,0.8269993450340168
Luton,,
Manchester City,-0.28266452846152107,
Manchester United,-3.019597118758246,-1.2943644070620595
Newcastle United,-3.474724153635307,6.501232067895636
Norwich,,-3.46964335962708
Nottingham Forest,,2.6768535199934074
Sheffield,,
Southampton,-1.3513449165070028,1.7536507513530197
Tottenham,,-0.44409221541690735
Watford,,2.4376001900822413
West Ham,3.125040389981081,
Wolverhampton,0.8551184713081776,
