assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,24.0,0.0,21.5,663.0,0.12,0.14,0.02,1.36,17,2.0,1.0,7.7,42.8,2023-08-18T18:45:00Z,90.0,16,0.0,0.0,0.0,0.0,2,0.0,1826.0,1.0,1,2,13.0,6.0,1419,1474,55,50,False,1.0
0.0,0.0,9.0,0.0,10.6,663.0,0.02,0.16,0.14,3.52,30,2.0,0.0,2.3,6.0,2023-08-27T13:00:00Z,90.0,13,0.0,0.0,0.0,0.0,3,0.0,10260.0,1.0,2,1,6.0,2.0,5450,6568,1118,50,True,0.0
0.0,0.0,15.0,0.0,27.8,663.0,0.09,0.35,0.26,2.59,40,2.0,0.0,6.6,14.6,2023-09-02T11:30:00Z,90.0,9,0.0,0.0,0.0,0.0,4,0.0,14791.0,1.0,2,2,24.0,2.0,3715,5413,1698,50,True,0.0
0.0,2.0,31.0,1.0,40.7,663.0,0.19,0.27,0.08,1.32,48,0.0,1.0,10.7,49.4,2023-09-16T14:00:00Z,80.0,18,0.0,0.0,0.0,0.0,5,0.0,12805.0,1.0,1,2,17.0,10.0,-2168,1359,3527,50,False,0.0
0.0,0.0,5.0,0.0,10.8,663.0,0.0,0.1,0.1,2.45,60,5.0,0.0,2.2,2.0,2023-09-24T15:30:00Z,65.0,15,0.0,0.0,0.0,0.0,6,0.0,27285.0,1.0,8,0,9.0,2.0,12875,15181,2306,50,True,0.0
0.0,0.0,15.0,0.0,47.8,663.0,0.25,0.3,0.05,1.67,69,2.0,0.0,6.8,11.4,2023-09-30T14:00:00Z,78.0,19,0.0,0.0,0.0,0.0,7,0.0,26848.0,1.0,0,2,9.0,2.0,20,4733,4713,50,False,0.0
0.0,0.0,8.0,0.0,5.3,663.0,0.03,0.05,0.02,1.75,76,1.0,0.0,1.5,6.2,2023-10-07T14:00:00Z,65.0,10,0.0,0.0,0.0,0.0,8,0.0,32306.0,1.0,1,3,3.0,2.0,4358,8412,4054,50,False,0.0
0.0,0.0,1.0,0.0,2.5,663.0,0.1,0.14,0.04,0.98,89,2.0,0.0,1.0,2.6,2023-10-21T19:00:00Z,83.0,14,0.0,0.0,0.0,0.0,9,0.0,29942.0,1.0,2,1,5.0,2.0,-2280,2320,4600,50,True,0.0
0.0,0.0,4.0,0.0,10.6,663.0,0.0,0.01,0.01,1.5,91,3.0,0.0,2.5,10.6,2023-10-28T14:00:00Z,82.0,1,0.0,0.0,0.0,0.0,10,0.0,26777.0,1.0,0,5,4.0,2.0,-3202,862,4064,50,False,0.0
0.0,0.0,6.0,0.0,13.1,663.0,0.05,0.08,0.03,1.33,109,1.0,0.0,1.6,0.0,2023-11-04T15:00:00Z,89.0,20,0.0,0.0,0.0,0.0,11,0.0,25305.0,1.0,1,2,3.0,1.0,-1617,1148,2765,50,True,1.0
0.0,0.0,10.0,0.0,38.9,663.0,0.08,0.69,0.61,1.54,114,1.0,0.0,5.4,9.4,2023-11-12T14:00:00Z,90.0,5,0.0,0.0,0.0,0.0,12,0.0,21132.0,1.0,1,1,6.0,2.0,-4019,90,4109,50,False,0.0
0.0,0.0,7.0,0.0,3.1,663.0,0.02,0.02,0.0,2.57,129,3.0,0.0,1.4,8.4,2023-11-25T15:00:00Z,80.0,3,0.0,0.0,0.0,0.0,13,0.0,21018.0,1.0,3,1,2.0,2.0,-491,1212,1703,50,True,0.0
0.0,0.0,13.0,0.0,11.1,663.0,0.09,0.1,0.01,1.81,134,5.0,0.0,2.1,8.8,2023-12-02T15:00:00Z,90.0,6,0.0,0.0,0.0,0.0,14,0.0,21743.0,1.0,0,5,1.0,1.0,560,2234,1674,50,False,1.0
0.0,0.0,9.0,0.0,5.8,663.0,0.09,0.09,0.0,1.78,147,2.0,0.0,1.7,11.2,2023-12-06T19:30:00Z,90.0,11,0.0,0.0,0.0,0.0,15,0.0,19495.0,1.0,2,0,0.0,2.0,-2224,132,2356,50,True,0.0
1.0,0.0,23.0,1.0,23.8,663.0,0.05,0.07,0.02,0.64,158,0.0,0.0,5.3,28.4,2023-12-09T15:00:00Z,90.0,4,0.0,0.0,0.0,0.0,16,0.0,19725.0,1.0,0,1,1.0,6.0,99,1475,1376,50,True,0.0
0.0,0.0,3.0,0.0,35.6,663.0,0.04,0.07,0.03,1.61,165,2.0,0.0,5.1,6.8,2023-12-16T15:00:00Z,79.0,7,0.0,0.0,0.0,0.0,17,0.0,19254.0,1.0,0,2,9.0,1.0,-572,1382,1954,50,False,1.0
1.0,1.0,22.0,0.0,20.8,663.0,0.19,0.19,0.0,0.45,171,1.0,0.0,5.4,29.6,2023-12-22T20:00:00Z,32.0,2,0.0,0.0,0.0,0.0,18,0.0,18397.0,0.0,1,1,4.0,5.0,-946,897,1843,50,False,0.0
0.0,0.0,10.0,0.0,41.3,663.0,0.26,0.41,0.15,0.63,190,1.0,0.0,6.9,13.6,2023-12-26T15:00:00Z,71.0,12,0.0,0.0,0.0,0.0,19,0.0,24810.0,1.0,3,2,14.0,1.0,5782,6964,1182,50,True,1.0
0.0,0.0,0.0,0.0,0.0,663.0,0.0,0.0,0.0,0.0,196,0.0,0.0,0.0,0.0,2023-12-30T15:00:00Z,0.0,13,0.0,0.0,0.0,0.0,20,0.0,17627.0,0.0,0,2,0.0,0.0,-6815,285,7100,50,False,0.0
0.0,0.0,9.0,0.0,62.7,663.0,0.23,0.34,0.11,2.27,210,2.0,0.0,7.8,10.4,2024-01-21T14:00:00Z,90.0,19,0.0,0.0,0.0,0.0,21,0.0,16288.0,1.0,2,2,5.0,1.0,-1583,577,2160,50,True,1.0
1.0,0.0,19.0,0.0,11.3,663.0,0.02,0.02,0.0,1.13,212,3.0,0.0,3.6,22.4,2024-01-30T20:00:00Z,86.0,8,0.0,0.0,0.0,0.0,22,0.0,16823.0,1.0,2,3,2.0,5.0,327,1421,1094,50,False,0.0
