assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,1.0,26.0,0.0,0.0,614.0,0.0,0.0,0.0,4.1,4,4.0,0.0,6.0,60.0,2023-08-12T14:00:00Z,90.0,5,0.0,0.0,0.0,0.0,1,8.0,10715.0,1.0,1,4,0.0,3.0,0,0,0,45,False,0.0
0.0,0.0,18.0,0.0,0.0,614.0,0.0,0.0,0.0,2.09,26,3.0,0.0,4.2,42.4,2023-08-25T19:00:00Z,90.0,7,0.0,0.0,0.0,0.0,3,5.0,15210.0,1.0,0,3,0.0,2.0,576,1649,1073,45,False,0.0
0.0,0.0,10.0,0.0,0.0,614.0,0.0,0.0,0.0,1.06,38,2.0,0.0,1.1,10.8,2023-09-01T19:00:00Z,90.0,19,0.0,0.0,0.0,0.0,4,1.0,17013.0,1.0,2,1,0.0,1.0,684,2018,1334,45,True,0.0
0.0,0.0,6.0,0.0,0.0,614.0,0.01,0.01,0.0,0.98,44,1.0,0.0,0.0,0.4,2023-09-16T14:00:00Z,90.0,10,0.0,0.0,0.0,0.0,5,1.0,20306.0,1.0,0,1,0.0,1.0,2168,4435,2267,45,False,1.0
0.0,0.0,13.0,0.0,0.0,614.0,0.0,0.0,0.0,0.59,58,1.0,0.0,1.1,10.6,2023-09-23T14:00:00Z,90.0,20,0.0,0.0,0.0,0.0,6,2.0,24690.0,1.0,1,1,0.0,2.0,3749,5898,2149,45,True,0.0
0.0,0.0,16.0,0.0,0.0,614.0,0.01,0.01,0.0,2.9,63,1.0,0.0,2.7,27.2,2023-09-30T14:00:00Z,90.0,9,0.0,0.0,0.0,0.0,7,3.0,35539.0,1.0,2,1,0.0,3.0,7160,9740,2580,45,False,0.0
0.0,0.0,12.0,0.0,0.0,614.0,0.0,0.0,0.0,1.04,15,2.0,0.0,1.9,19.2,2023-10-03T18:30:00Z,90.0,6,0.0,0.0,0.0,0.0,7,2.0,35539.0,1.0,2,1,0.0,1.0,7160,9740,2580,45,True,0.0
0.0,0.0,13.0,0.0,0.0,614.0,0.0,0.0,0.0,1.99,77,1.0,0.0,2.8,28.4,2023-10-07T11:30:00Z,90.0,18,0.0,0.0,0.0,0.0,8,3.0,29057.0,1.0,1,0,0.0,3.0,-3594,1393,4987,45,True,0.0
0.0,0.0,24.0,0.0,0.0,614.0,0.0,0.0,0.0,2.97,88,2.0,0.0,4.8,47.6,2023-10-21T14:00:00Z,90.0,16,0.0,0.0,0.0,0.0,9,6.0,26016.0,1.0,2,2,0.0,3.0,-3657,590,4247,45,False,0.0
0.0,0.0,16.0,0.0,0.0,614.0,0.0,0.0,0.0,2.39,92,3.0,0.0,3.4,33.8,2023-10-29T14:00:00Z,90.0,2,0.0,0.0,0.0,0.0,10,4.0,24179.0,1.0,1,3,0.0,2.0,-2048,379,2427,45,False,0.0
0.0,0.0,17.0,0.0,0.0,614.0,0.0,0.0,0.0,3.04,105,1.0,0.0,3.0,29.8,2023-11-05T16:30:00Z,90.0,11,0.0,0.0,0.0,0.0,11,5.0,23278.0,1.0,1,1,0.0,3.0,-1152,422,1574,45,True,0.0
0.0,0.0,14.0,0.0,0.0,614.0,0.0,0.0,0.0,2.12,118,1.0,0.0,2.7,26.8,2023-11-11T15:00:00Z,90.0,14,0.0,0.0,0.0,0.0,12,3.0,24822.0,1.0,0,1,0.0,3.0,1091,2217,1126,45,False,0.0
0.0,0.0,21.0,0.0,0.0,614.0,0.0,0.0,0.0,1.68,125,1.0,0.0,5.0,50.4,2023-11-25T15:00:00Z,90.0,8,0.0,0.0,0.0,0.0,13,7.0,27825.0,1.0,1,2,0.0,3.0,2377,3696,1319,45,True,1.0
0.0,0.0,12.0,0.0,0.0,614.0,0.0,0.0,0.0,3.47,133,3.0,0.0,2.3,22.6,2023-12-02T15:00:00Z,90.0,4,0.0,0.0,0.0,0.0,14,3.0,29381.0,1.0,1,3,0.0,1.0,1209,3356,2147,45,False,1.0
0.0,0.0,19.0,0.0,0.0,614.0,0.0,0.0,0.0,2.44,146,4.0,0.0,4.5,45.4,2023-12-05T20:15:00Z,90.0,1,0.0,0.0,0.0,0.0,15,5.0,29026.0,1.0,4,3,0.0,1.0,-548,1876,2424,45,True,0.0
0.0,0.0,16.0,0.0,0.0,614.0,0.0,0.0,0.0,1.6,156,2.0,0.0,2.8,28.2,2023-12-10T14:00:00Z,90.0,13,0.0,0.0,0.0,0.0,16,4.0,26879.0,1.0,2,1,0.0,2.0,-2344,1427,3771,45,True,0.0
0.0,0.0,24.0,1.0,0.0,614.0,0.0,0.0,0.0,1.68,175,0.0,0.0,1.9,18.6,2023-12-23T15:00:00Z,90.0,15,0.0,0.0,0.0,0.0,18,2.0,28244.0,1.0,0,1,0.0,6.0,-2878,929,3807,45,True,0.0
